country,orgs,repos,watchers_count,forks,open_issues,size,members,uniqmembers,followers,public_gists,52weeksactivity
Brazil,30,279,595,477,612,2002735,68,65,0,0,10
Canada,31,241,397,386,558,3615576,155,149,0,0,31
Panama,2,3,3,2,3,3196,9,9,0,0,0
Lithuania,2,33,70,35,13,855738,3,3,0,0,80
Argentina,5,46,351,107,48,961875,4,4,0,0,17
Bolivia,2,12,4,37,2,14490,2,2,0,0,0
New Zealand,10,94,106,77,52,1119749,13,13,0,0,5
Ecuador,3,35,1,6,11,446826,0,0,0,0,0
Saudi Arabia,1,0,0,0,0,0,0,0,0,0,0
Australia,30,280,465,345,554,1933570,64,62,0,0,27
European Union,1,29,61,46,81,1411895,8,8,0,0,10
Guatemala,1,3,2,1,3,517,1,1,0,0,0
U.S. Tribal Nations,2,0,0,0,0,0,1,1,0,0,0
Chile,2,29,50,31,32,479072,8,8,0,0,14
Belgium,3,50,89,44,109,385645,12,12,0,0,15
U.K. Councils,26,191,122,45,45,1503173,14,13,0,0,2
Hong Kong,1,4,2,0,0,988,0,0,0,0,0
Spain,2,15,108,62,15,2443683,9,9,0,0,182
Catalonia,1,2,6,1,0,51073,0,0,0,0,0
Code for All,16,305,1052,711,728,2632660,282,275,0,0,4
U.S. Federal,129,1620,14194,7475,5480,40898542,884,746,0,0,38
Poland,1,4,13,6,30,829,3,3,0,0,109
Open Knowledge Foundation,20,313,5024,2175,1815,2909456,187,142,0,0,22
Switzerland,9,66,51,45,144,664660,14,13,0,0,3
U.S. City,63,459,1641,659,783,8766507,96,91,0,3,10
New Zealand Crown Research Institutes,4,32,14,30,13,140096,4,4,0,0,19
Isle of Man,1,2,8,1,0,5636,0,0,0,0,0
Estonia,6,69,994,246,329,876065,5,4,0,0,30
Uruguay,1,2,3,0,0,878,1,1,0,0,0
South Africa,1,0,0,0,0,0,0,0,0,0,0
India,1,3,2,1,9,24808,3,3,0,0,0
Colombia,3,17,14,38,2,176339,2,2,0,0,0
Code For America,95,1191,3468,3236,5002,10249942,503,483,0,0,34
Italy,4,51,31,16,8,36291,4,4,0,0,0
The Netherlands,13,71,37,60,164,531863,12,12,0,0,10
France,13,254,1341,373,661,1210271,31,30,0,0,39
Peru,1,8,3,0,4,162029,0,0,0,0,7
International,2,27,80,71,459,43136,6,6,0,0,15
Norway,11,157,269,233,348,2043166,29,29,0,0,30
Luxemburg,2,5,12,5,130,295750,4,3,0,0,0
Israel,1,0,0,0,0,0,0,0,0,0,0
Singapore,2,25,25,33,27,75805,12,12,0,0,2
Venezuela,2,33,6,8,35,351312,8,8,0,0,0
U.S. County,19,176,185,231,210,1062477,15,15,0,0,2
U.S. Research Labs,98,1381,8651,5466,5680,95854193,409,356,0,7,46
Germany,4,68,126,80,515,313008,5,5,0,1,2
Civic Hackers,114,1486,11840,4496,6867,18269600,713,602,0,12,41
Denmark,1,5,2,0,2,540,0,0,0,0,0
Philippines,2,9,8,20,3,41422,0,0,0,0,0
Ukraine,1,27,50,88,342,10499,1,1,0,0,81
U.K. Central,47,1156,1561,958,1301,7910925,158,139,0,0,36
U.S. Special District,10,130,84,69,1307,4440477,22,21,0,0,4
Finland,11,143,359,127,646,2697345,35,35,0,0,54
U.S. States,47,455,741,480,939,6549020,58,57,0,2,18
Sweden,12,102,125,49,553,412080,21,17,0,0,9
Latvia,1,2,5,1,0,914,3,3,0,0,13
Bulgaria,2,11,96,27,54,43553,1,1,0,0,7
Romania,2,8,19,9,27,6321,1,1,0,0,44
Mexico,6,73,34,57,239,833577,22,21,0,0,6
Egypt,1,1,0,0,0,0,1,1,0,0,0
Malaysia,1,1,0,0,0,0,0,0,0,0,0
U.S. Military and Intelligence,11,86,7109,1855,362,1038847,15,15,0,0,15
Paraguay,2,8,18,5,2,244431,0,0,0,0,0
Japan,6,223,134,71,23,356496,5,5,0,1,1
