orgname	name	star_count	forks	issues	contributors	size
18f	midas	64	40	61	15	39767
18f	api.data.gov	16	8	61	5	5107
18f	omniauth-myusa	3	3	1	6	208
18f	PriceHistoryAPI	6	3	4	3	7862
18f	MorrisDataDecorator	1	1	2	2	2464
18f	fbopen	56	32	56	13	21912
18f	fbopen-widget	2	3	6	4	515
18f	PriceHistoryGUI	6	4	8	2	6176
18f	PriceHistoryAuth	1	1	3	3	395
18f	MicroP3ApiUser	1	1	0	2	173
18f	API-Usability-Testing	3	6	20	4	3239
18f	pif-app	2	1	0	1	276
18f	ifgovthenthat	14	4	3	4	495
18f	18f.gsa.gov	38	40	34	55	31402
18f	18f.github.io	5	6	7	13	1243
18f	brutus	1	1	1	3	1367
18f	Mario	1	0	0	5	3491
18f	afsmallbiz	3	1	64	2	252
18f	API-All-the-X	33	34	99	15	4318
18f	api-standards	208	12	17	19	355
18f	sbhub	0	1	0	2	6829
18f	scrapebox	10	4	3	3	240
18f	C2	5	4	5	6	79592
18f	RandomizeBasedOnZipcodeFromIPAddress	0	1	0	2	220
18f	afsbirez	3	1	0	4	3628
18f	beckley	3	2	4	4	328
18f	PriceHistoryInstall	0	2	18	2	8366
18f	myusa	17	7	88	10	6196
18f	Gov-Position-Descriptions	1	2	4	2	176
18f	Digital_Coworking	4	2	1	1	306
18f	notalone	8	6	5	7	10490
18f	bronto-api	1	3	10	3	469
18f	answers	16	8	89	29	69214
18f	scratch	0	1	0	2	168
18f	github-in-government	4	6	0	4	5856
18f	foia	34	7	1	8	11569
18f	bronto	2	4	3	3	417
18f	dodsbir-scrape	4	3	2	3	410
18f	analytics	4	2	10	2	539
18f	fbopen-docs	2	4	8	6	1610
18f	design	4	2	2	2	211
18f	cookbooks	1	1	0	1	220
18f	rectangle	0	1	1	2	890
18f	foia-design	5	3	4	4	922
18f	foia-hub	17	4	63	10	5865
18f	foia-search	4	1	0	1	339
18f	javascript-lessons	5	6	1	3	264
18f	docker-es	2	2	1	2	227
18f	doi-extractives-data	2	1	26	8	158586
18f	parse-shopping-list	0	2	1	2	223
18f	mirage	1	5	16	7	21160
18f	FEC	18	3	21	4	250
18f	answers-ruby-client	1	1	0	2	300
18f	vagrant-chef-elasticsearch	3	1	0	2	172
18f	fbopen-python	3	1	1	3	260
18f	myra	4	0	16	5	95610
18f	pyfpds	2	2	0	2	632
18f	fec-graph-search	2	3	0	1	1239
18f	openFEC	33	1	65	7	11030
18f	tls-standards	131	9	10	3	1219
18f	aaa-exp-proto1	1	2	0	2	274
18f	FAB	1	1	14	1	128
18f	dashboard	10	2	43	13	1768
18f	consulting	3	0	2	4	13344
18f	fec-infrastructure	0	1	0	1	124
18f	fec-data-chef-config	0	0	0	1	136
18f	peacecorps-site	6	6	10	5	26871
18f	mock-pay	1	2	0	2	178
18f	hackathontrainingday	2	1	17	2	1164
18f	how-to-work-with-18f	0	2	1	2	221
18f	Sendak	4	1	24	3	4982
18f	shipper	9	1	4	2	305
18f	gsa_auctions_gem	2	1	0	1	3624
18f	frontend-style-guide	4	1	4	1	121
18f	inclusive-design-guide	1	1	0	1	124
18f	midas-open-opportunities	1	4	21	2	1091
18f	starter-ui	0	2	3	1	280
18f	bulk-storage	0	1	3	1	109
18f	agreements-public	1	0	0	1	236
18f	peace-corps-infrastructure	2	2	0	2	1749
18f	openFEC-web-app	5	2	1	4	6079
18f	shipper-cookbook	0	0	0	1	180
18f	pif3-oct-census	0	1	0	3	979
18f	pif3-oct-apprentice	0	0	0	3	5347
18f	pif3-oct-whibrary	0	0	0	1	48828
18f	pif3-oct-scraping	0	0	0	1	1724
18f	pif3-oct-ebola	0	0	0	1	220
18f	FEC-api	3	0	0	1	140
18f	mirage-cookbook	0	1	1	2	263
18f	peacecorps-placeholder-images	0	0	0	2	45720
18f	up	1	0	0	1	192
18f	rdbms-subsetter	178	7	4	2	365
18f	autoburn	1	0	1	1	160
18f	Course-Change	0	0	0	1	124
18f	sendak-usage	1	0	2	1	252
18f	analytics-proxy	2	0	0	1	172
18f	myusa-cookbook	0	0	1	2	249
18f	18fconsulting-proto-3	0	0	0	1	1756
18f	api-playground	0	0	1	1	86
18f	hourglass	5	5	10	5	7510
18f	email-to-github-issues	3	1	0	2	643
18f	us-gov-digital-service-design-manual	2	0	0	2	220
18f	data-public	1	1	0	4	241
18f	ckanext-formats	0	0	0	1	110
18f	analytics-reporter	6	0	5	2	6300
18f	https-scan	2	2	0	2	143
18f	flakes-flask	3	0	0	1	484
18f	usps-proxy	2	0	0	1	476
18f	hub	9	9	16	10	3402
18f	midas-cookbook	0	2	3	4	333
18f	hourofcode	5	29	1	28	782
18f	data-validator	0	0	0	2	180
18f	hash-joiner	1	1	0	2	383
18f	usps-api-notes	0	0	1	1	196
18f	docker-fugacious	2	1	1	3	133
18f	weekly_snippets	1	0	1	2	200
18f	before-you-ship	1	1	2	1	126
18f	dashboards-on-demand	0	0	3	1	140
18f	team_hub	0	0	1	1	124
18f	test_temp_file_helper	0	0	2	1	0
18f	sendak-touch	0	0	0	1	0
18f	hackathon	0	0	0	1	0
