orgname	name
AAFC-MBB	rpmout
AAFC-MBB	ITISProxy
AAFC-MBB	matiri
AAFC-MBB	android-mock-ws
AAFC-MBB	android-real-ws
AAFC-MBB	ITISProxyLoader
AAFC-MBB	NGSSampleManager
AAFC-MBB	dockerfiles
AAFC-MBB	puppet-manifests
AAFC-MBB	AODP_releases
AAFC-MBB	acceptor
AAFC-MBB	MBB-Bio-Roll
AAFC-MBB	Galaxy
AAFC-MBB	rpmpaths
AAFC-MBB	HostPathogenLuceneIndexer
AAFC-MBB	gbif-ipt-vagrant
AAFC-MBB	HostPathogenLuceneSearcher
AAFC-MBB	vagrant-aws
AAFC-MBB	blastdb_dynamo
AAFC-MBB	MBB-Bio-Roll-Docker
AAFC-MBB	vagrant-specify7
AAFC-MBB	vagrant-galaxy-puppet
AAFC-MBB	annotation-scripts
AAFC-MBB	crti-assembly-pipeline
AAFC-MBB	qsub-omics
AAFC-MBB	unitedb-py
AAFC-MBB	gflow
AAFC-MBB	pybold
AAFC-MBB	docker-assembly
AAFC-MBB	sge-puppet
AAFC-MBB	hpdb
AAFC-MBB	snakemake-mothur
AAFC-MBB	blackbox-pipeline
AAFC-MBB	parallel_itsx
AAFC-MBB	biocluster-playbook
AAFC-MBB	bold2blast
AAFC-MBB	snakemake-trimmomatic
AAFC-MBB	xlsx2redmine
AAFC-MBB	snakemake-workflows
