orgname	name	star_count	forks	issues	contributors	size
CORaleigh	linux-oracle-client	0	0	0	1	72156
CORaleigh	datajam	0	0	0	2	264
CORaleigh	soda-ruby	0	0	0	2	112
CORaleigh	reports	0	0	0	2	200
CORaleigh	Open-Raleigh-Policy	0	0	0	1	116
CORaleigh	cmdb	0	0	0	1	108
CORaleigh	sy_rental_class_integration	0	1	0	0	108
CORaleigh	sy_course_class_integration	0	1	0	0	108
CORaleigh	sy_league_class_integration	0	1	0	0	108
CORaleigh	poi	0	0	0	1	304
CORaleigh	parking	0	1	12	3	751
CORaleigh	coraleigh.github.io	0	0	0	1	132
CORaleigh	sy_meter_integration	0	1	0	0	145
CORaleigh	sy_integration_ccb_cityworks	0	0	12	1	212
CORaleigh	sy_peoplesoft_integration	0	0	0	1	128
CORaleigh	represent-map	0	1	22	1	1704
CORaleigh	hospitality	0	0	1	1	476
CORaleigh	innovation_team	0	1	0	1	100
CORaleigh	remapping	0	0	0	1	1004
CORaleigh	myservices	0	1	0	1	125
