orgname	name
CanterburyRegionalCouncil	CanterburyMaps_Android
CanterburyRegionalCouncil	CanterburyMaps_iOS
CanterburyRegionalCouncil	CanterburyMaps_WinPhone8
CanterburyRegionalCouncil	CanterburyMaps_Windows8
CanterburyRegionalCouncil	LLUR_Public_Framework
CanterburyRegionalCouncil	ESRI_Enhanced_Proxy
CanterburyRegionalCouncil	tourofchch
CanterburyRegionalCouncil	PropertyMap
CanterburyRegionalCouncil	ObjectiveMatching
CanterburyRegionalCouncil	StoryMaps-Wetlands
CanterburyRegionalCouncil	Quiz
CanterburyRegionalCouncil	FloodInvestigationAmberley
CanterburyRegionalCouncil	RFS
CanterburyRegionalCouncil	ecan-webappbuilder-components
CanterburyRegionalCouncil	MetroInfoMaps
CanterburyRegionalCouncil	BUILDING-OUR-FOOTPRINTS
CanterburyRegionalCouncil	ProxyFileHandler
CanterburyRegionalCouncil	Trip-Splitter-Widget
CanterburyRegionalCouncil	AirQualityMonitoringDevice
