orgname	name	star_count	forks	issues	contributors	size
CanyonCounty	CC.Common.Compression	0	0	0	1	152
CanyonCounty	CC.Common.JSON	0	0	0	1	192
CanyonCounty	wp-CurrentArrests	0	0	0	1	132
CanyonCounty	MailingCards	0	0	0	1	272
CanyonCounty	DSDDemo	0	0	0	1	596
CanyonCounty	JekyllTest	0	0	0	1	384
CanyonCounty	Browse	0	0	0	1	260
CanyonCounty	CCServiceCtl	0	0	0	1	172
CanyonCounty	DataMover	0	0	0	1	264
CanyonCounty	ElectionResults	0	0	0	2	216
CanyonCounty	CC.Common.Parser	0	0	0	1	172
CanyonCounty	CC.Common.Data.Util	0	0	0	1	192
CanyonCounty	public-api	0	0	0	1	168
CanyonCounty	CC.Common.Macros	0	0	0	1	152
