orgname	name	star_count	forks	issues	contributors	size
City-of-Helsinki	palaute-integraatio	0	0	0	1	196
City-of-Helsinki	geocoder	3	1	0	2	460
City-of-Helsinki	aura	5	1	0	1	602
City-of-Helsinki	helsinki-address-register	2	1	0	1	638
City-of-Helsinki	openahjo	10	5	22	4	4285
City-of-Helsinki	issues-example	2	1	1	1	384
City-of-Helsinki	helsinki-orto	2	1	0	1	691
City-of-Helsinki	servicemap	13	6	61	5	4893
City-of-Helsinki	smbackend	1	1	1	2	762
City-of-Helsinki	appseli	0	2	0	4	568
City-of-Helsinki	linkedevents	0	3	19	4	1093
City-of-Helsinki	helsinki-deployment	1	0	0	1	128
City-of-Helsinki	events-ui	0	0	0	1	432
City-of-Helsinki	appseli-ui	0	1	0	3	661
City-of-Helsinki	kuulemispalvelu-ui	0	0	0	0	0
City-of-Helsinki	owsbench	0	0	0	1	100
