orgname	name	star_count	forks	issues	contributors	size
CityOfPhiladelphia	election311	1	4	0	1	230
CityOfPhiladelphia	li	7	5	1	2	175
CityOfPhiladelphia	open-gov-phl	14	5	1	1	784
CityOfPhiladelphia	phlapi	3	4	1	4	1347
CityOfPhiladelphia	avi	3	2	0	2	411
CityOfPhiladelphia	arc-console	6	4	0	1	488
CityOfPhiladelphia	innovation-summit	0	2	0	1	672
CityOfPhiladelphia	myphillyrising	7	2	33	6	2833
CityOfPhiladelphia	cameras	1	1	0	2	303
CityOfPhiladelphia	phl-airport-data	9	1	7	3	1195
CityOfPhiladelphia	phl-open-geodata	24	28	4	5	27224
CityOfPhiladelphia	phl-campaign-finance-data	3	0	0	2	19100
CityOfPhiladelphia	ppa-data	5	2	2	1	317
CityOfPhiladelphia	bootstrap-philagov	0	0	1	1	116
CityOfPhiladelphia	expo	0	1	0	1	86
CityOfPhiladelphia	disclosure-docs	0	0	0	1	13318
CityOfPhiladelphia	language-assistance	2	1	0	1	306
CityOfPhiladelphia	phl-policecomplaint-data	0	1	0	1	144
CityOfPhiladelphia	flu-shot-spec	19	14	9	4	500
CityOfPhiladelphia	phl-municipal-code	5	0	0	1	2236
CityOfPhiladelphia	property	3	2	6	3	2838
CityOfPhiladelphia	phl-contract-data	3	0	9	4	1204
CityOfPhiladelphia	phlloop	0	0	0	1	9337
CityOfPhiladelphia	arc-open	28	4	4	1	466
CityOfPhiladelphia	phl-polling-loctions	2	0	0	1	156
CityOfPhiladelphia	cityofphiladelphia.github.io	1	4	2	1	110
CityOfPhiladelphia	phl-airport-ivr	0	0	5	1	157
CityOfPhiladelphia	data.gov	0	0	2	2	259
CityOfPhiladelphia	phl-site-stats	3	1	2	3	381
CityOfPhiladelphia	phl-energy-benchmarking-data-2011	6	3	1	1	150
CityOfPhiladelphia	terms-of-use	0	0	0	1	110
CityOfPhiladelphia	github-for-geodata	1	0	0	2	1145
CityOfPhiladelphia	WaterDept-geodata	2	2	0	2	156653
CityOfPhiladelphia	HealthDept-geodata	0	0	0	1	104
CityOfPhiladelphia	ParksDept-geodata	1	0	0	3	7800
CityOfPhiladelphia	StreetsDept-geodata	3	0	0	3	59816
CityOfPhiladelphia	zoning-appeals	0	2	0	2	16293
CityOfPhiladelphia	lobbyist-registrations	0	0	0	1	164
CityOfPhiladelphia	OIT-geodata	2	1	0	2	307053
CityOfPhiladelphia	CityPlanning-geodata	2	2	0	3	238399
CityOfPhiladelphia	StreetsDept-geodata-ecocamp	0	4	0	4	35109
CityOfPhiladelphia	CLIP-geodata	0	0	0	4	3850
CityOfPhiladelphia	phl-energy-benchmarking-data	1	1	1	3	324
CityOfPhiladelphia	ParksDept-geodata-ecocamp	0	0	0	2	14673
CityOfPhiladelphia	LNI-geodata	0	0	0	1	500
CityOfPhiladelphia	ethics	2	1	0	5	301
CityOfPhiladelphia	trackaticket	0	0	0	2	190
CityOfPhiladelphia	slash-data	1	1	3	5	2167
CityOfPhiladelphia	phila-gov-bootstrap	2	0	0	1	4312
CityOfPhiladelphia	trb-opinions	0	0	2	1	128
CityOfPhiladelphia	pm	0	0	1	0	0
CityOfPhiladelphia	slash-map	1	0	0	1	582
CityOfPhiladelphia	grants-data	0	0	0	1	109
CityOfPhiladelphia	phila.gov-theme	1	1	0	3	1225
CityOfPhiladelphia	phila.gov-customization	0	1	0	3	468
CityOfPhiladelphia	phila.gov	1	0	1	3	1039
CityOfPhiladelphia	phila.gov-styles	0	0	1	2	520
CityOfPhiladelphia	curbside-geocoder	2	0	0	0	145
CityOfPhiladelphia	patterns-daisy-experiment	0	0	0	5	2960
CityOfPhiladelphia	wordpress-cookbook	0	0	0	1	0
CityOfPhiladelphia	phila.gov-cookbooks	0	0	0	1	208
CityOfPhiladelphia	patterns	0	0	0	1	0
