orgname	name
DCgov	Traffic_Tweet_analysis
DCgov	Traffic_data_Viz
DCgov	AVL-
DCgov	datasharing
DCgov	InrixDataRetrieval
DCgov	Waze_TTC
DCgov	organizational-chart
DCgov	guides-template
DCgov	open-source-guidelines
DCgov	license
DCgov	assets
DCgov	economic-intelligence
DCgov	Loopy
DCgov	PCS_Email_Service
DCgov	poirot
DCgov	poirot-test-repo
DCgov	poirot-patterns
DCgov	dcgov.github.io
DCgov	civic.json
DCgov	business-profiles
DCgov	dc-madison
DCgov	innobot
DCgov	civic.json-cli
DCgov	groupthink
DCgov	dcgov-cli
DCgov	tutorials
DCgov	dcgov-dashboard
DCgov	econintel-wardtool
DCgov	great-streets
DCgov	smart-city
DCgov	econintel-cotw
DCgov	drafts-dc-guide
