orgname	name
Geonovum	PDOK_Kaart_Allereerste_versies
Geonovum	pdokkaart
Geonovum	PDOK-NGR-issues
Geonovum	sospilot
Geonovum	Metadata-ISO19115
Geonovum	Metadata-ISO19119
Geonovum	INSPIRE-Data-Specifications
Geonovum	Webrichtlijnen-Geo
Geonovum	geonovum.github.io
Geonovum	geonovum
Geonovum	testing
Geonovum	imwe2014
Geonovum	raamwerk-geostandaarden
Geonovum	PDOK-NGR-documentatie
Geonovum	imkl2015-review
Geonovum	imkl2015-dev
Geonovum	imro
Geonovum	stri
Geonovum	pcp
Geonovum	inspirelab
Geonovum	IMGeo
Geonovum	technisch-register
Geonovum	imkl2015
Geonovum	etf-test-projects-nl
Geonovum	NEN3610
Geonovum	etf-test-projects-inspire
Geonovum	geo4web-testbed
Geonovum	IMOR-dev
Geonovum	imro-dev
Geonovum	pcp-dev
Geonovum	imropt-dev
Geonovum	stri-dev
Geonovum	GAB
Geonovum	imropt
Geonovum	smartemission
Geonovum	privacytool
Geonovum	StOP
Geonovum	StOD
