orgname	name	star_count	forks	issues	contributors	size
GeoscienceAustralia	earthsci	14	5	53	2	127294
GeoscienceAustralia	conn4D	0	0	0	1	5360
GeoscienceAustralia	gocad-projector	0	1	0	2	196
GeoscienceAustralia	tcrm	1	2	10	3	45454
GeoscienceAustralia	test_repo	0	0	0	1	108
GeoscienceAustralia	agdc	5	5	1	7	3107
GeoscienceAustralia	Wind_multipliers	2	0	0	2	70700
GeoscienceAustralia	iSentinel	1	0	0	1	3248
GeoscienceAustralia	geo-web-toolkit	0	1	1	4	1073
GeoscienceAustralia	geo-web-toolkit-examples	0	0	0	4	494
GeoscienceAustralia	EO_tools	1	3	0	3	398
GeoscienceAustralia	unstructInterp	0	0	0	2	252
GeoscienceAustralia	TsuTools	0	0	0	2	7780
GeoscienceAustralia	flowtools	0	0	0	2	11140
GeoscienceAustralia	PF3D	0	0	0	3	29388
