orgname	name
GuildfordBC	linq
GuildfordBC	data-models
GuildfordBC	web-elmah
GuildfordBC	guildfordbc.github.io
GuildfordBC	address-api
GuildfordBC	address
GuildfordBC	address-api-client
GuildfordBC	web-mvc
GuildfordBC	activedirectory
GuildfordBC	activedirectory-api
GuildfordBC	io
GuildfordBC	icalendar
GuildfordBC	flake-id-generators
GuildfordBC	net-coordinates
GuildfordBC	mail-classifier
GuildfordBC	activedirectory-api-client
GuildfordBC	customerpoint-service-waste
GuildfordBC	web-mvc-html
GuildfordBC	front-assets
GuildfordBC	flake-api-client
GuildfordBC	tenvironment-auth-gen
GuildfordBC	service-manual
GuildfordBC	front-template
GuildfordBC	hangfire-extensions
GuildfordBC	linq-bank-holidays
GuildfordBC	linq-json
GuildfordBC	bartec-wastecollector
GuildfordBC	bartec-collective
GuildfordBC	adelante-api
GuildfordBC	linq-spreadsheet
GuildfordBC	fs-permission-log
GuildfordBC	redbox-voice-recorder-controller
GuildfordBC	customerpoint-vehicleinfo-lookup
