orgname	name
HHSDigitalMediaAPIPlatform	SyndicationSDK_Java
HHSDigitalMediaAPIPlatform	SyndicationSDK_JS
HHSDigitalMediaAPIPlatform	SyndicationSDK_ObjectiveC
HHSDigitalMediaAPIPlatform	SyndicationSDK_PHP
HHSDigitalMediaAPIPlatform	HHSDigitalMediaModuleHTML
HHSDigitalMediaAPIPlatform	HHSDigitalMediaModuleJoomla_2-5_3
HHSDigitalMediaAPIPlatform	HHSDigitalMediaModuleJoomla_1-5
HHSDigitalMediaAPIPlatform	HHSDigitalMediaModuleDrupal7
HHSDigitalMediaAPIPlatform	HHSDigitalMediaModuleWordpress
HHSDigitalMediaAPIPlatform	WordpressCustomPost
