orgname	name	star_count	forks	issues	contributors	size
IATI	IATI-XSLT	7	5	1	6	287
IATI	IATI-Previewer	4	0	3	2	428
IATI	CSV2IATI-backend	2	1	0	3	744
IATI	IATI-Registry-Refresher	2	0	6	2	247
IATI	IATI-Public-Validator	2	0	18	2	993
IATI	iati-datastore	19	12	69	9	2735
IATI	IATI-Schemas	3	1	15	6	1999
IATI	IATI-Query-Builder	2	0	7	2	412
IATI	IATI-Stats	0	2	21	3	1404
IATI	IATI-Websites	0	0	35	3	1256
IATI	IATI-Codelists	1	1	4	5	964
IATI	IATI-Rulesets	3	1	5	3	430
IATI	IATI-Standard-SSOT	4	4	14	5	1045
IATI	IATI-Extra-Documentation	2	2	26	8	1999
IATI	IATI-Developer-Documentation	1	0	6	3	700
IATI	IATI-Dashboard	4	5	91	4	2942
IATI	IATI-Codelists-NonEmbedded	0	2	7	4	844
IATI	iati.github.io	0	0	0	2	288
IATI	IATI-Guidance	0	3	68	7	1275
IATI	IATI-Implementation-Schedule	1	1	1	1	2214
IATI	AidTransparency-website	0	0	4	2	120
IATI	IATI-Website-Tests	0	0	0	2	148
IATI	IATI-Wiki-Archive	0	0	0	0	21328
