orgname	name	star_count	forks	issues	contributors	size
LandRegistry-Attic	concept-frontend	2	0	1	13	7760
LandRegistry-Attic	concept-development-environment	1	0	0	8	727
LandRegistry-Attic	concept-the-register	0	0	0	0	136
LandRegistry-Attic	concept-titles-service	0	0	0	6	644
LandRegistry-Attic	concept-system-of-record	0	0	0	4	560
LandRegistry-Attic	concept-update-register	0	0	0	3	456
LandRegistry-Attic	concept-homepage	0	0	1	4	344
LandRegistry-Attic	concept-geo-service	2	0	1	4	832
LandRegistry-Attic	concept-official-copy	0	0	0	1	152
LandRegistry-Attic	concept-thirdparty	0	0	0	2	188
LandRegistry-Attic	experiment-git-managed-titles	0	0	0	1	112
LandRegistry-Attic	alpha-frontend-prototype	1	0	0	1	8948
LandRegistry-Attic	flask-examples	0	0	0	7	1208
LandRegistry-Attic	flask-example-scaffold	0	0	0	2	260
LandRegistry-Attic	devenv	0	0	1	3	212
