orgname	name	star_count	forks	issues	contributors	size
LandRegistry	system-of-record-alpha	0	0	0	9	1011
LandRegistry	mint	0	0	0	7	544
LandRegistry	the-feeder	0	0	0	8	900
LandRegistry	architecture	0	0	0	2	8181
LandRegistry	development-environment	1	2	0	17	1273
LandRegistry	search-api	1	0	1	11	960
LandRegistry	property-frontend	1	0	1	18	3596
LandRegistry	casework-frontend	0	0	0	17	2438
LandRegistry	public-titles	0	0	1	6	380
LandRegistry	acceptance-tests	0	0	0	11	5496
LandRegistry	build-dashboard	0	0	3	4	1312
LandRegistry	team-dashboard	1	1	0	3	413
LandRegistry	style-guide	1	0	0	10	3500
LandRegistry	generate-test-data	0	0	0	8	544
LandRegistry	service-frontend	0	0	1	16	21388
LandRegistry	pull-dashboard	0	0	0	1	848
LandRegistry	test-dashboard	0	0	0	3	1004
LandRegistry	html-prototypes	0	1	0	6	12079
LandRegistry	infrastructure-puppet-devkit	0	0	0	2	400
LandRegistry	service-tests	1	0	0	1	345
LandRegistry	geo	1	0	0	3	268
LandRegistry	service-tests-dashboard	0	0	0	1	154
LandRegistry	datatypes	0	1	0	7	915
LandRegistry	audit-plugin	0	0	0	3	272
LandRegistry	landregistry.github.io	0	2	1	6	6831
LandRegistry	ownership	0	0	0	4	320
LandRegistry	cases	0	0	0	10	6116
LandRegistry	introductions	0	0	0	8	580
LandRegistry	migration-emitter	2	1	0	6	723
LandRegistry	historian	0	0	0	3	608
LandRegistry	mapbooth	0	0	0	1	196
LandRegistry	lr-utils	0	0	0	3	340
LandRegistry	hackday	0	1	1	2	4518
LandRegistry	internal-style-guide	0	0	0	1	154
LandRegistry	lr-tutorials	1	1	0	2	332
LandRegistry	acceptance-tests-lib	0	0	0	11	2104
LandRegistry	workflow-prototypes	0	0	0	1	468
LandRegistry	jekyll-frontend-kit	0	0	0	1	252
LandRegistry	mean-frontend-kit	0	0	0	1	168
LandRegistry	casework-prototypes	0	0	0	1	176
LandRegistry	property-frontend-ruby	0	1	0	3	1052
LandRegistry	charges-html-prototype	0	0	0	9	0
LandRegistry	system-of-record	0	0	0	1	0
LandRegistry	charges-prototype-option-3	0	0	0	2	0
