orgname	name	star_count	forks	issues	contributors	size
NMML	Crash-Test-Dummy	1	0	0	3	152
NMML	R-User-Meetings	4	0	0	2	3860
NMML	sunFuncs	1	0	0	1	168
NMML	crawlHelper	1	0	0	1	208
NMML	crawl	3	1	4	2	1006
NMML	TempOcc	2	0	0	1	200
NMML	BeringAbundance	1	0	0	1	13952
NMML	Hierarchical_DS	1	0	0	1	23844
NMML	wcUtils	1	0	0	1	280
NMML	bass	1	0	0	2	25837
NMML	agTrend	0	0	0	1	656
NMML	SSLfish	0	0	0	2	550
NMML	PEP-Telemetry-Data-Model	0	1	0	1	1736
NMML	PvIliamna	0	0	0	1	1671
NMML	NMML-GitHub-Policies-Workflow	1	0	3	1	128
NMML	akpvgeo	0	0	0	1	22140
NMML	pepgeo	0	0	0	1	112
NMML	crawl_toolbox	0	0	0	2	1428
NMML	bayesMSCJS	0	0	0	1	128
NMML	SSL_field_camp	0	0	0	2	136
NMML	PCspatreg	0	0	0	1	128
NMML	kfdnm	0	0	0	1	404
