orgname	name	star_count	forks	issues	contributors	size
NREL-cookbooks	ack	0	0	0	2	176
NREL-cookbooks	etc	0	0	0	2	132
NREL-cookbooks	unzip	0	0	0	1	92
NREL-cookbooks	rubygems	0	0	0	1	140
NREL-cookbooks	rsyslog	0	1	0	1	99
NREL-cookbooks	passenger	0	0	0	1	100
NREL-cookbooks	bundler	0	0	0	1	136
NREL-cookbooks	pygments	0	0	0	1	120
NREL-cookbooks	redis	0	0	0	1	156
NREL-cookbooks	shasum	0	0	0	1	120
NREL-cookbooks	awstats	0	0	0	1	208
NREL-cookbooks	spawn-fcgi	0	0	0	1	112
NREL-cookbooks	opsview	0	0	0	1	428
NREL-cookbooks	solr	0	0	0	1	176
NREL-cookbooks	ora2pg	0	0	0	1	120
NREL-cookbooks	openstudio	0	0	0	1	556
NREL-cookbooks	energyplus	1	0	0	1	252
NREL-cookbooks	ssh	0	0	0	1	120
NREL-cookbooks	R	1	0	0	2	224
NREL-cookbooks	ca_certificates	0	0	0	1	272
NREL-cookbooks	inotify_tools	0	0	0	1	104
NREL-cookbooks	torquebox	0	0	0	1	236
NREL-cookbooks	rrdtool	0	0	0	1	116
NREL-cookbooks	deploy_permissions	0	0	0	1	268
NREL-cookbooks	geoip	0	0	0	1	120
NREL-cookbooks	expect	0	0	0	1	112
NREL-cookbooks	acl	0	0	0	1	128
NREL-cookbooks	api-umbrella	0	0	0	1	388
NREL-cookbooks	geoserver	0	0	0	1	208
NREL-cookbooks	passenger_mon	0	0	0	1	100
NREL-cookbooks	radiance	1	0	0	2	320
NREL-cookbooks	automongobackup	0	0	0	1	104
NREL-cookbooks	cron-wrap	0	0	0	1	100
NREL-cookbooks	geos	0	0	0	1	124
NREL-cookbooks	git18	0	0	0	1	120
NREL-cookbooks	yum-cron	0	0	0	1	120
NREL-cookbooks	yum-security	0	0	0	1	100
NREL-cookbooks	dnsmasq	1	0	0	1	172
NREL-cookbooks	git-config	0	0	0	1	124
NREL-cookbooks	trafficserver	0	0	0	1	172
NREL-cookbooks	python-docutils	0	0	0	1	108
NREL-cookbooks	nginx_intermission	0	0	0	1	140
NREL-cookbooks	hdf5	0	0	0	2	104
NREL-cookbooks	freegeoip	0	0	0	1	124
