orgname	name
NatLibFi	RecordManager
NatLibFi	NDL-VuFind
NatLibFi	SolrPlugins
NatLibFi	NDL-VuFind-Solr
NatLibFi	Skosmos
NatLibFi	ONKILegacy
NatLibFi	Finto-data
NatLibFi	Finto-test
NatLibFi	MARC-Record-AutoPunct
NatLibFi	MARC-File-OAI_MARCXML
NatLibFi	MARC-File-AlephSequential
NatLibFi	MARC-File-MARCXML
NatLibFi	MARC-File-MARC21
NatLibFi	SimpleREST
NatLibFi	ocrui-frontend
NatLibFi	marc21-deduplication
NatLibFi	lookuptable_generator
NatLibFi	USEMARCON-BookWhere
NatLibFi	USEMARCON-ebrary
NatLibFi	USEMARCON-fi2ma
NatLibFi	USEMARCON-fi2maISBD
NatLibFi	USEMARCON-ISBD
NatLibFi	USEMARCON-kyril2880ma21
NatLibFi	USEMARCON-kyril2latinma21
NatLibFi	USEMARCON-ma21ma21sfx
NatLibFi	USEMARCON-ma2fi
NatLibFi	mutu
NatLibFi	git-perehdytys
NatLibFi	Finna-Statistics
NatLibFi	mets-viewer
NatLibFi	aleph-holdings
NatLibFi	Discourse-Crowd
NatLibFi	marc-record-merge
NatLibFi	aleph-merge-plus-ui
NatLibFi	marc-record-rank
NatLibFi	marc-record-merge-melindautils
NatLibFi	Finto-suggestio
NatLibFi	melinda-api-client
NatLibFi	Skosify
NatLibFi	SiteLogPurger
NatLibFi	marc-record-similarity
NatLibFi	melinda-merge-controller
NatLibFi	melinda-merge-cli
NatLibFi	melinda-api-mock
NatLibFi	USEMARCON-RDA
NatLibFi	openwayback-overlay-example
NatLibFi	tunnistehaku
NatLibFi	melinda-batch-update
NatLibFi	aleph-x-query
NatLibFi	marc-merge-viewer
NatLibFi	usemarcon
NatLibFi	object-comparison
NatLibFi	json-similarity
NatLibFi	json-path-transformations
NatLibFi	marc-json-index
NatLibFi	es6-polyfills
NatLibFi	record-loader
NatLibFi	record-loader-prototypes
NatLibFi	record-loader-json
NatLibFi	record-loader-marc
NatLibFi	record-loader-melinda
NatLibFi	record-loader-ui-cli
NatLibFi	sru-client
NatLibFi	loglevel-std-streams
NatLibFi	ISIL-database
NatLibFi	json-index
NatLibFi	voyager-oai-pmh-provider
NatLibFi	json-index-ui-cli
NatLibFi	json-index-marc
NatLibFi	cli-wrap
NatLibFi	marc-record-converters
NatLibFi	YAZ-Proxy-LogParser
NatLibFi	USEMARCON-maRDA2maISBD
NatLibFi	loglevel-message-prefix
NatLibFi	record-loader-logger-loglevel
NatLibFi	USEMARCON-maRDA2fi
NatLibFi	es6-shims
NatLibFi	natlibfi.github.io
NatLibFi	Skosmos-widget-finna
NatLibFi	xmlhttprequest-mock
NatLibFi	USEMARCON-rda_fin2swe
NatLibFi	USEMARCON-BOOKWHERE-RDA
NatLibFi	marc-record-validate
NatLibFi	Skosmos-widget-yse
NatLibFi	marc-record-validators-melinda
NatLibFi	http-client-x
NatLibFi	http-client-x-mock
NatLibFi	skosmos-api-client
NatLibFi	aleph-merge-plus-api
NatLibFi	aleph-merge-plus-ui-fennica
