orgname	name	star_count	forks	issues	contributors	size
NeoGeographyToolkit	StereoPipeline	46	19	29	16	92014
NeoGeographyToolkit	utils	1	0	0	1	100
NeoGeographyToolkit	scripts	1	0	0	1	100
NeoGeographyToolkit	BinaryBuilder	5	6	5	5	32242
NeoGeographyToolkit	kraken	2	1	0	3	62808
NeoGeographyToolkit	PhotometryTK	6	3	0	5	66514
NeoGeographyToolkit	AutotoolsForISIS	4	1	0	3	284
NeoGeographyToolkit	StereoPipelineTest	1	2	0	2	1812
NeoGeographyToolkit	MultipleViewPipeline	1	3	0	3	14906
NeoGeographyToolkit	Tools	1	1	0	2	525
