orgname	name	star_count	forks	issues	contributors	size
ONSdigital	ons-poc-data	0	0	3	5	728
ONSdigital	ons_data_models	0	0	0	5	600
ONSdigital	ons-templates	0	0	0	2	220
ONSdigital	ons-data-api	0	0	0	5	660
ONSdigital	prototype-frontend	0	1	0	5	716
ONSdigital	ProfileGenerator	0	1	0	0	552
ONSdigital	Alpha	1	2	0	2	8178
ONSdigital	onsdigital.github.io	0	1	0	1	524
ONSdigital	web-apps	0	2	0	1	5207
ONSdigital	ons-api_jsonstatviewer	2	1	0	1	172
ONSdigital	ons-api_googlecharts	0	0	0	1	184
ONSdigital	ons-api_maps	0	1	0	1	224
ONSdigital	opendatasets	1	1	0	1	512
ONSdigital	ons-api_areatree	0	1	0	1	296
ONSdigital	rjstat	1	0	1	1	148
ONSdigital	tredegar	2	1	0	7	122945
ONSdigital	pattern-library	0	2	0	1	2472
