orgname	name
PloneGov-IT	comuneimola.compensi
PloneGov-IT	ospfe.percorso_sla
PloneGov-IT	rer.downloadurl
PloneGov-IT	rg.prenotazioni
PloneGov-IT	monet.mapsviewlet
PloneGov-IT	cciaa.portlet.calendar
PloneGov-IT	collective.portlet.mybookmarks
PloneGov-IT	uniba.bandilavoro
PloneGov-IT	monet.calendar.criteria
PloneGov-IT	monet.calendar.event
PloneGov-IT	monet.calendar.extensions
PloneGov-IT	monet.calendar.location
PloneGov-IT	monet.calendar.portlet
PloneGov-IT	monet.calendar.star
PloneGov-IT	collective.solr_collection
PloneGov-IT	collective.excludecriterion
PloneGov-IT	cciaa.portlet.ulteriori_approfondimenti
PloneGov-IT	ospfe.singole_procedure
PloneGov-IT	rer.bandi
PloneGov-IT	collective.filteredlocking
PloneGov-IT	rer.sitesearch
PloneGov-IT	pd.prenotazioni
PloneGov-IT	pd.contentrules.sms
PloneGov-IT	rer.fix13603
PloneGov-IT	unipdgest.portlet.navigation
PloneGov-IT	pd.plonedemografico
PloneGov-IT	collective.deepsitemap
PloneGov-IT	collective.datehacker
PloneGov-IT	rer.portlet.advanced_static
PloneGov-IT	collective.rtvideo.senapetv
PloneGov-IT	rg.infocard
PloneGov-IT	rer.groupware.star
PloneGov-IT	rer.groupware.addressbook
PloneGov-IT	rer.groupware.core
PloneGov-IT	rer.groupware.multilanguage
PloneGov-IT	rer.groupware.notify
PloneGov-IT	rer.groupware.room
PloneGov-IT	rer.groupware.security
PloneGov-IT	rer.groupware.workflow
PloneGov-IT	collective.pfg.userjoin
PloneGov-IT	rer.al.mcorevideoportlet
PloneGov-IT	rer.cookieconsent
PloneGov-IT	rer.consentembed
PloneGov-IT	collective.outputfilters.enhancelinks
PloneGov-IT	collective.taxonomysupport
