orgname	name	star_count	forks	issues	contributors	size
Smithsonian	vagrant-sidora	0	1	0	1	236
Smithsonian	vagrant-qiime	0	1	0	1	112
Smithsonian	genome_reseq_scripts	0	2	0	1	326
Smithsonian	vagrant-jbrowse	0	1	0	1	112
Smithsonian	info	0	1	0	1	112
Smithsonian	jbrowse-tools	0	1	0	2	112
Smithsonian	popgen_scripts	0	1	0	1	161
Smithsonian	Compositae-COS-workflow	5	2	0	3	1438
Smithsonian	miseq-16s-metagenomics-workflow	0	1	0	1	108
Smithsonian	vagrant-galaxy	5	3	1	1	195
Smithsonian	vagrant-stacks	0	1	0	2	141
Smithsonian	edanrb	1	1	0	2	128
Smithsonian	vagrant-taverna	1	1	0	1	132
Smithsonian	rnaseq_scripts	0	1	0	1	0
Smithsonian	sidora-theme	0	1	0	4	220
Smithsonian	exhibition_config	0	1	0	2	210
Smithsonian	sianis	0	0	0	1	144
Smithsonian	gflow	0	0	0	2	204
Smithsonian	sianisdemo	0	0	0	1	152
Smithsonian	sianctdemo	0	0	0	1	188
Smithsonian	sianct	0	0	0	1	140
Smithsonian	sidora-service-tests	0	0	0	1	304
Smithsonian	sidora-devops	0	0	0	2	204
Smithsonian	sianctapi	0	0	0	1	116
