orgname	name
USGS-CIDA	ncETL
USGS-CIDA	list-nexus-versions-plugin
USGS-CIDA	WaterSMART
USGS-CIDA	geotiff-iosp
USGS-CIDA	netcdf-jna
USGS-CIDA	OpenLayers-Extensions
USGS-CIDA	netcdf-dsg
USGS-CIDA	netcdf-gsod
USGS-CIDA	GeoExt-Extensions
USGS-CIDA	ExtJS-Extensions
USGS-CIDA	Heartbeat
USGS-CIDA	pyGDP
USGS-CIDA	JQuery-Archetype
USGS-CIDA	glri-geoserver
USGS-CIDA	glri-afinch
USGS-CIDA	coastal-hazards
USGS-CIDA	cida-overlay-52north-wps
USGS-CIDA	geoutils
USGS-CIDA	cida-owsutils-geoserver
USGS-CIDA	cida-owsutils-commons
USGS-CIDA	cida-owsutils-geonetwork
USGS-CIDA	sedmap
USGS-CIDA	tomcat-utilities
USGS-CIDA	generic-webapp-deployer
USGS-CIDA	nude
USGS-CIDA	HARRI
USGS-CIDA	geo-data-portal
USGS-CIDA	NWCUI
USGS-CIDA	excat-csw
USGS-CIDA	nwc
USGS-CIDA	glri-phragmites
USGS-CIDA	Twitter-Reader
USGS-CIDA	glri-catalog
USGS-CIDA	nar-services
USGS-CIDA	nar_ui
USGS-CIDA	sparrow-dss
USGS-CIDA	NWIS-Mapper
USGS-CIDA	pywqp
USGS-CIDA	MyPubs
USGS-CIDA	cida-auth
USGS-CIDA	CIDA-Viz
USGS-CIDA	py-webb-db-utils
USGS-CIDA	WQP_Data_Exploration
USGS-CIDA	PubsWarehouse_UI
USGS-CIDA	jquery.flot.custom-canvas-legend
USGS-CIDA	TANC
USGS-CIDA	TANC-Tools
USGS-CIDA	nude-microservices
USGS-CIDA	stig
USGS-CIDA	microservices-libraries
USGS-CIDA	cookbook-psiprobe
USGS-CIDA	gcmrc-ui-parent
USGS-CIDA	WQP_WPS4Rscripts
USGS-CIDA	cookbook-jenkins
USGS-CIDA	consul-registrator-maven-plugin
USGS-CIDA	cookbook-role-consul-cluster
USGS-CIDA	cookbook-role-consul-client
USGS-CIDA	cookbook-rabbitmq
USGS-CIDA	cookbook-netcdf
USGS-CIDA	cDAT
USGS-CIDA	cookbook-cida-consul-service
USGS-CIDA	WQP-WQX-Services
USGS-CIDA	checkstyle
USGS-CIDA	glri-geoserver-configuration
USGS-CIDA	aquarius-domain
USGS-CIDA	WQP_UI
USGS-CIDA	cookbook-rserve
USGS-CIDA	gdp_web
USGS-CIDA	sparrow-ui
USGS-CIDA	OWDI-Lower-Colorado-Drought-Vis
USGS-CIDA	stream_metab_usa
USGS-CIDA	migratingToGit
USGS-CIDA	nwis-cvs-sync
USGS-CIDA	metab_tests
USGS-CIDA	crawljax-save-to-file-plugin
USGS-CIDA	SimpleHash
USGS-CIDA	nwc-search-engine-files
USGS-CIDA	cida_website
USGS-CIDA	ajax_search_crawler_tools
USGS-CIDA	gdp-search-engine-files
USGS-CIDA	DSASweb
USGS-CIDA	cookbook-cida-auth
USGS-CIDA	nar_data
USGS-CIDA	enddat_web
USGS-CIDA	OWI_website
USGS-CIDA	cookbook-tomcat
USGS-CIDA	chef-cookbook-consul
USGS-CIDA	chef-cookbook-oracle-server
