orgname	name	star_count	forks	issues	contributors	size
agrc	agrc.widgets	14	2	10	3	5414
agrc	StubModule	6	3	0	1	281
agrc	SdeTimer	1	0	0	2	1966
agrc	AGRCJavaScriptProjectBoilerPlate	23	9	27	3	2463
agrc	AutomatedCaching	2	0	0	1	3565
agrc	agrc.ijit	1	1	2	2	1788
agrc	AddressPointEditor	4	0	5	2	6334
agrc	SendEmailService	1	0	1	1	836
agrc	GeocodingSample	2	0	0	2	483
agrc	ArcGisServerPermissionsProxy	0	0	0	2	2148
agrc	PEL	1	1	2	2	5556
agrc	AgrcPasswordManagement	0	0	0	1	152
agrc	agrc.python	0	2	0	2	14889
agrc	ugs-chemistry	1	1	3	3	2425
agrc	deq-enviro	1	0	6	2	9672
agrc	PLSS	0	0	0	1	2296
agrc	geocoding-addin	0	0	0	2	200
agrc	public-utilities	0	0	0	1	1048
agrc	agrc-jasmine-matchers	0	0	0	1	144
agrc	deq-spills	0	0	0	1	908
agrc	BasemapUpgrade	0	1	1	2	198
agrc	fiber-verification	0	0	8	3	32992
agrc	Chalkdust	0	0	0	1	204
agrc	ZipPlus4	0	0	0	0	0
agrc	MasterStreetAddressGuideVisualizer	0	0	0	1	140
agrc	blog-posts	1	0	0	2	908
agrc	land-mobile-radio	0	0	14	1	372
agrc	BEMS	1	0	7	1	632
agrc	UDSH-SurveySync	0	1	1	2	3430
agrc	NewsLetter	1	1	2	1	839
agrc	broadband	0	0	1	1	3132
agrc	AmdButler	2	1	7	2	396
agrc	acs-alias-address-point	0	0	2	2	796
agrc	ArcGIS-Server-Benchmarking	0	0	0	1	492
agrc	bb-econ	0	0	11	1	5572
agrc	Crash-db	0	1	1	2	203
agrc	DEQ-TankRisk	0	0	2	1	0
agrc	ugs-db	1	1	6	2	3586
agrc	UDOT-LRS-Elevator	0	0	0	1	0
agrc	Crash-web	1	0	5	2	120
agrc	raster	0	0	1	1	116
agrc	surface-water-quality	0	0	2	1	18172
