orgname	name	star_count	forks	issues	contributors	size
alphagov	jquery-link-annotator	2	1	0	1	96
alphagov	geolib	1	1	0	3	122
alphagov	cdn_helpers	5	2	0	2	127
alphagov	static	62	25	5	81	27237
alphagov	slimmer	14	3	2	44	1828
alphagov	meetingotron	15	4	0	2	94
alphagov	publisher	18	9	5	56	11719
alphagov	gds-sso	13	5	3	29	1872
alphagov	govspeak	36	5	3	33	1056
alphagov	panopticon	15	3	1	46	5600
alphagov	imminence	6	2	0	29	2749
alphagov	searchtools	2	1	0	1	104
alphagov	frontend	193	32	4	75	31668
alphagov	plek	2	1	2	28	463
alphagov	whitehall	249	94	3	89	181555
alphagov	Browserview	2	1	0	1	224
alphagov	marples	2	2	0	3	123
alphagov	smart-answers	62	25	9	63	32810
alphagov	chief_whip	2	1	0	1	96
alphagov	rummager	22	6	2	55	7703
alphagov	rummageable	1	1	0	19	472
alphagov	calendars	16	3	2	34	1798
alphagov	daemonette	2	1	0	3	104
alphagov	smokey	8	3	0	51	1764
alphagov	gds-api-adapters	5	2	1	40	3803
alphagov	recommended-links	5	1	0	20	1385
alphagov	alphagov.github.io	10	2	0	29	97508
alphagov	gds-warmup-controller	1	1	0	2	100
alphagov	api-explorer	3	3	0	1	168
alphagov	design-principles	43	24	2	45	71234
alphagov	sibyl	3	1	0	1	124
alphagov	signonotron2	33	15	7	34	7199
alphagov	design-assets	1	1	0	4	4867
alphagov	licence-finder	3	2	0	23	1818
alphagov	gds-scala-common	6	3	4	11	4706
alphagov	tumblr	1	1	0	3	196
alphagov	prototyping	23	7	2	25	33817
alphagov	gem_publisher	6	8	3	10	570
alphagov	govuk_content_models	3	2	1	36	4724
alphagov	trade-tariff-backend	2	2	0	20	12439
alphagov	trade-tariff-frontend	2	2	0	24	15897
alphagov	EFG	33	7	5	12	23663
alphagov	styleguides	59	17	0	34	814
alphagov	e-petitions	15	7	3	6	569
alphagov	govuk_content_api	6	2	0	32	3550
alphagov	omniauth-gds	1	1	0	6	246
alphagov	business-support-finder	2	1	2	30	2188
alphagov	a11y	2	1	0	1	110
alphagov	public-reading-stage	4	1	0	0	512
alphagov	google-auth-bridge	3	1	0	4	124
alphagov	govuk_frontend_toolkit	162	37	4	34	2167
alphagov	feedback	2	2	0	37	2913
alphagov	support	2	1	1	33	5042
alphagov	govuk-archive	4	7	0	1	8498828
alphagov	cross-browser-tests	1	1	0	4	172
alphagov	fabric-scripts	16	5	0	23	1243
alphagov	fake_google_analytics	6	1	0	3	148
alphagov	character_encoding_cleaner	1	1	0	1	136
alphagov	assets-directgov	1	2	0	7	486834
alphagov	assets-businesslink	1	2	0	6	233610
alphagov	magna-charta	139	10	3	3	809
alphagov	government-service-design-manual	135	134	13	103	44160
alphagov	sbv-to-ttaf	1	1	0	1	114
alphagov	ghtools	6	1	0	12	496
alphagov	transition-config	8	6	1	29	42213
alphagov	release	8	2	15	23	1541
alphagov	gapy	8	8	2	11	402
alphagov	travel-advice-publisher	1	1	0	16	2016
alphagov	gds_zendesk	3	1	0	7	398
alphagov	dayinthelife	1	1	0	5	2060
alphagov	vagrant-govuk	5	3	0	12	572
alphagov	trade-tariff-oracle	1	2	0	1	103
alphagov	shared_mustache	2	1	1	4	273
alphagov	asset-manager	1	2	0	14	1063
alphagov	github-jenkins-trigger	3	1	0	1	128
alphagov	estools	2	1	0	5	216
alphagov	gds-boxen	22	7	2	92	88171
alphagov	kibana-gds	3	2	0	12	509
