orgname	name	star_count	forks	issues	contributors	size
alv-ch	alv-ch-ng	4	1	0	3	8349
alv-ch	jobroom-api	0	0	0	2	444
alv-ch	jobroom-web	0	0	0	2	816
alv-ch	alv-ch-java	1	1	0	2	1396
alv-ch	poc-man	0	0	0	1	4832
alv-ch	alv-ch-laboratory	0	0	0	2	1008
alv-ch	alv-ch-snippets	0	0	0	1	168
alv-ch	alv-ch-integration	0	0	0	1	2036
alv-ch	doc-man	0	0	0	1	11856
alv-ch	alv-ch-nodejs	0	0	0	1	232
alv-ch	jobroom-mobile	0	0	0	1	3372
alv-ch	alv-ch-sysinfos.api	0	1	1	5	4404
alv-ch	alv-ch-sysinfos.ui	0	1	1	6	1795
alv-ch	alv-ch-circular.ui	0	0	0	5	668
alv-ch	alv-ch-tech	0	0	0	2	656
alv-ch	grunt-build-alv-ch	0	0	1	1	160
alv-ch	alv-ch-reperire	0	0	0	0	0
alv-ch	alv-ch	0	0	1	2	232
alv-ch	generator-alvch	0	0	0	1	0
