orgname	name	star_count	forks	issues	contributors	size
atlregional	aris	4	1	0	1	87092
atlregional	atlbreeze	0	0	0	1	3827
atlregional	rc_network	0	0	0	1	178288
atlregional	transitdash	0	1	0	1	335
atlregional	fc-review	3	5	1135	34	184966
atlregional	transit-ticker	0	0	0	1	216
atlregional	gct-gtfs-transform	0	0	1	1	192
atlregional	bus-router	6	1	0	1	313
atlregional	geojson-test	0	0	0	1	364
atlregional	otp.io	0	0	0	22	18364
atlregional	proj-solicitation	0	0	1	3	172
atlregional	climatechange	0	0	0	1	212
atlregional	dispersion	0	0	0	1	356
