orgname	name
ausdto	Digital-Service-Standard
ausdto	disco_layer
ausdto	WoAG-Analytics
ausdto	biz_gov
ausdto	dto_proto
ausdto	govHackServiceCatalogue
ausdto	disco_crawl
ausdto	apiguide
ausdto	dto_whitesite
ausdto	wwwgovau-static
ausdto	discovery-guide
ausdto	citizenship-appointment-alpha
ausdto	dto-acronyms
ausdto	citizenship-appointment-server
ausdto	citizenship-appointment-client
ausdto	service-handbook
ausdto	backchat
ausdto	citizenship-appointment-backend-stub
ausdto	gov-au-design-guide
ausdto	dto-dashboard-data
ausdto	gov-au-beta-authoring
ausdto	brunch-spring-roll
ausdto	gov-au-content-guide
ausdto	gov-au-alpha
ausdto	gov-au-beta
ausdto	d3-charts-dto
ausdto	gov-au-beta-content-analysis
ausdto	gov-au-ui-kit
ausdto	user-service-alpha
ausdto	cga_docs
ausdto	jalpha
ausdto	dto-hackday-ideas
ausdto	spring-security-stateless
ausdto	myagedcare_service_finder_scraper
ausdto	identity-alpha-client
ausdto	cf-diy-buildpack
ausdto	identity-alpha-client-listener
ausdto	identity-alpha-native-client
ausdto	gov-au-transitions
ausdto	gov-au-images
