orgname	name
bcdevexchange	BCDevExchange-app
bcdevexchange	Our-Project-Docs
bcdevexchange	ckanext-wso2-harvester
bcdevexchange	API-Management
bcdevexchange	BCDevExchange-Resources
bcdevexchange	BCDevExchange-Projects
bcdevexchange	Guides-Templates-Etc
bcdevexchange	BCDevExchange-Programs
bcdevexchange	garbage-day
bcdevexchange	RA-Documents
bcdevexchange	cemetery-information
bcdevexchange	WORKPLAN
bcdevexchange	bc-property-api-specification
bcdevexchange	rapid-adoption
bcdevexchange	bca-api
bcdevexchange	blog
bcdevexchange	pay-for-pull-epic-research
bcdevexchange	BCDevExchange-Site
bcdevexchange	BCDevExchange-mini-apps
