orgname	name	star_count	forks	issues	contributors	size
blue-button	where-is-my-data	5	0	0	1	316
blue-button	claims	2	1	0	1	127
blue-button	implementation-guide	17	16	0	7	7020
blue-button	challenge	8	2	0	2	20395
blue-button	bluebutton.js	87	36	13	6	2704
blue-button	trust-bundle	0	0	0	1	136
blue-button	xml2json	6	2	0	1	136
blue-button	bbClear	27	8	2	3	656
blue-button	html-buttons	0	0	0	1	112
blue-button	blue_button	1	0	0	1	104
blue-button	static-registry-example	0	0	0	1	328
blue-button	bb-registry	0	0	0	1	60
blue-button	connector	11	4	3	1	76976
blue-button	data-holders	2	0	0	1	120
blue-button	status-board	1	2	2	1	99
blue-button	blue-button.github.io	2	5	0	5	3175
blue-button	healthkit	15	3	0	1	220
