orgname	name	star_count	forks	issues	contributors	size
chaos	lustre	20	8	2	37	87416
chaos	chaos.github.com	1	0	0	1	96
chaos	lustre-kdmu	6	1	0	6	39542
chaos	lustre-tools-llnl	5	4	1	3	223
chaos	lmt	26	14	6	6	8777
chaos	lmt-gui	5	0	0	1	4360
chaos	libyogrt	2	2	0	1	948
chaos	cerebro	3	1	0	1	2392
chaos	slurm	36	17	1	16	87361
chaos	diod	49	9	1	4	7958
chaos	ldiskfs	3	2	0	3	572
chaos	ldiskfsprogs	1	0	0	33	22712
chaos	ior	35	23	14	4	429
chaos	mrsh	2	2	2	3	359
chaos	mib	0	1	0	2	1151
chaos	scrub	2	2	0	3	1011
chaos	nfsroot	1	0	0	1	2504
chaos	powerman	1	1	0	1	3692
chaos	nodediag	0	0	0	1	376
chaos	rquota	0	0	0	1	740
chaos	dpkg-scripts	0	0	0	2	260
chaos	dpkg	0	0	0	1	3176
chaos	dpkg-dotkit	0	0	0	1	448
chaos	v9fs	1	0	0	3	448
chaos	apt	0	0	0	1	1896
chaos	pathwalk	0	0	0	1	156
