orgname	name	star_count	forks	issues	contributors	size
city-of-bloomington	open311-mobile	23	21	14	8	12273
city-of-bloomington	open311-proxy	4	2	5	2	503
city-of-bloomington	open311-android	28	25	9	6	20436
city-of-bloomington	open311-kuali	2	0	0	3	123624
city-of-bloomington	uReport	16	10	67	3	11682
city-of-bloomington	green-rental	3	1	34	2	2754
city-of-bloomington	open311-sms	1	1	0	2	1397
city-of-bloomington	civic-legislation	3	0	8	1	4812
city-of-bloomington	skidder	0	0	1	1	364
city-of-bloomington	rosehill	0	0	3	1	6560
city-of-bloomington	receipts	1	0	1	1	240
city-of-bloomington	blossom	2	0	1	1	4112
city-of-bloomington	media-manager	0	1	10	1	876
city-of-bloomington	City-of-Bloomington.github.io	0	0	0	1	292
city-of-bloomington	cmis	0	1	1	3	368
city-of-bloomington	farmers-market	0	0	0	1	292
city-of-bloomington	meter_monitor	0	0	1	2	1252
city-of-bloomington	road_closings	1	0	0	1	2720
