orgname	name	star_count	forks	issues	contributors	size
cityofasheville	metadata	0	2	0	3	333
cityofasheville	coa-cookbooks	0	0	0	4	1212
cityofasheville	bulkyroutetest	0	0	0	1	164
cityofasheville	riversidecemetery	0	2	0	3	9413
cityofasheville	whatIsTheClosest	2	3	0	2	3087
cityofasheville	AshevilleGreenMap	0	1	1	2	19132
cityofasheville	BikeRacks	0	10	0	2	65
cityofasheville	quickmap	0	1	0	1	661
cityofasheville	SustainabilityTour	0	0	0	1	932
cityofasheville	weeklyreport	0	0	0	2	832
cityofasheville	sanitationreport	0	0	0	2	34172
cityofasheville	asset	0	0	0	1	476
cityofasheville	skillstask	2	1	0	2	159
cityofasheville	http2file	0	0	0	1	156
cityofasheville	graffiti-data-backend	0	0	0	1	148
cityofasheville	data_test	0	0	0	1	16436
cityofasheville	postgis-for-esri-ami	0	0	0	1	312
cityofasheville	centos-postgis-sde	0	0	0	1	128
cityofasheville	graffiti-crime-stats	0	0	0	1	712
cityofasheville	imagery_test	0	0	0	1	136
cityofasheville	urban-trail-resource	0	0	0	1	128556
cityofasheville	coa-cards	0	0	0	1	1176
cityofasheville	urban-trail-walking-tour	0	0	0	1	160
cityofasheville	angularjs-app-scaffold	0	0	0	1	308
cityofasheville	simplicity-ui	0	0	7	1	1984
cityofasheville	asheville-park-finder	0	1	0	2	435
cityofasheville	intranet-wp-content	0	1	0	2	14865
