orgname	name	star_count	forks	issues	contributors	size
datagovuk	ckanext-dgu	17	15	8	16	26409
datagovuk	ckanext-ga-report	7	4	3	4	1684
datagovuk	ckanext-datastore	0	1	0	3	204
datagovuk	ckanext-linkfinder	0	1	0	1	180
datagovuk	ckanext-os	7	2	0	6	835
datagovuk	ckanext-datapreview	3	3	0	3	447
datagovuk	dgu_d7	11	15	1	9	23447
datagovuk	standards.data.gov.uk	1	4	1	2	1268
datagovuk	logreporter	0	2	0	3	248
datagovuk	dgu-joint-assets	0	2	0	1	6924
datagovuk	datagovuk.github.com	0	1	0	1	136
datagovuk	testpages	0	1	0	1	148
datagovuk	dgu-test-env	0	2	0	2	152
datagovuk	html-responsive	0	1	2	1	1196
datagovuk	MPA	0	2	0	1	144
datagovuk	ckanext-hierarchy	4	6	2	3	281
datagovuk	inventory-template	0	1	0	1	972
datagovuk	refine-csv	0	1	0	1	2312
datagovuk	dgu-vagrant-puppet	31	20	7	3	37982
datagovuk	shared_dguk_assets	1	7	1	9	2838
datagovuk	ckanext-redmine	0	1	0	1	136
datagovuk	ckanext-certificates	1	3	0	3	217
datagovuk	linux-puppet	0	0	0	0	56
datagovuk	ckanext-dgu-local	0	1	0	3	736
datagovuk	linux_puppet	1	6	3	7	1091
datagovuk	dgu_solr	1	3	0	1	258
datagovuk	ukgovldwg-test	0	1	0	0	173
datagovuk	ckanext-report	6	5	0	3	1516
datagovuk	dgu-orgs	0	1	0	1	304
datagovuk	ISB	0	1	0	1	731
datagovuk	organogram-explorer	0	1	0	1	840
datagovuk	dcat-usage	0	1	0	1	120
datagovuk	ckanext-taxonomy	0	0	3	2	600
