orgname	name	star_count	forks	issues	contributors	size
decc	twenty-fifty	11	20	4	3	227075
decc	How-much-energy-is-that	3	1	0	1	292
decc	Balancing	2	2	0	0	642
decc	numbers-for-decc	2	1	0	1	1706
decc	decc_2050_model	3	6	1	2	173582
decc	decc_2050_optimizer	1	1	0	1	187
decc	decc_2050_model_relationships	1	0	0	0	48
decc	twenty-fifty-wiki	0	1	0	1	1600
decc	city-calculator	0	1	2	1	25408
decc	42Questions	0	1	0	1	11056
decc	siunits	0	1	3	1	240
decc	turn_decc_2050_model_into_web_pages	0	1	0	1	108
decc	computer-speak	0	1	0	1	348
decc	mary	0	1	0	1	240
decc	electricity-build-rate-constraint	0	1	0	1	43332
decc	belgium_2050_model	0	2	0	1	103492
decc	belgium_2050_web_interface	0	2	2	1	1540
decc	nocell	0	1	0	1	448
decc	tryNHM	0	0	0	0	0
decc	calculator-book	0	2	1	3	8282
decc	global-calculator	3	4	0	1	107531
decc	R_Excel_link	0	1	0	1	197
