orgname	name	star_count	forks	issues	contributors	size
department-of-veterans-affairs	government-services-schema-from-google-spreadsheet-php	1	0	0	2	160
department-of-veterans-affairs	government-services-schema-from-google-spreadsheet-javascript	1	1	0	1	204
department-of-veterans-affairs	email-excel-conversion	1	0	0	1	960
department-of-veterans-affairs	vetsuccess	1	0	0	1	120
department-of-veterans-affairs	TechJam	0	0	0	0	56
department-of-veterans-affairs	Tech-Jam-Fall-2013---Awesome-Nighthawks	0	0	0	1	66108
department-of-veterans-affairs	Tech-Jam-2013---Cognizant	0	0	0	0	112
department-of-veterans-affairs	Tech-Jam-2013---Team-DBGT-Cary	0	1	0	0	18896
department-of-veterans-affairs	Tech-Jam-2013---Team-Double-Impact	0	0	0	0	2520
department-of-veterans-affairs	Tech-Jam-2013---IBM-Federal	0	0	0	0	44964
department-of-veterans-affairs	Tech-Jam-2013---Infusion-	0	1	0	4	10374
department-of-veterans-affairs	Tech-Jam-2013---Islington-Green	0	0	0	1	12532
department-of-veterans-affairs	Tech-Jam-2013---Rambo-Tango-Panda-	0	0	0	0	5300
department-of-veterans-affairs	Tech-Jam-2013---Team-11	1	0	0	0	20768
department-of-veterans-affairs	Tech-Jam-2013---vCare	0	1	0	0	60692
department-of-veterans-affairs	va-data	4	0	8	0	56
department-of-veterans-affairs	gi-bill-comparison-tool	2	5	3	8	83510
department-of-veterans-affairs	VA_OPEN_DATA_IPT	0	0	0	1	348
department-of-veterans-affairs	VA_DATA_ASSETS	0	0	0	1	1164
department-of-veterans-affairs	VA_Data_Assets_NCA	0	0	0	2	1125124
department-of-veterans-affairs	VA_Data_Assets_VBA	0	0	0	2	284
department-of-veterans-affairs	VA_Data_Assets_HR	0	0	0	1	832
department-of-veterans-affairs	VA_Data_Assets_OM	0	0	0	2	6808
department-of-veterans-affairs	private-care-eligibility	0	0	0	2	420
department-of-veterans-affairs	Leo	2	0	0	1	33912
department-of-veterans-affairs	dsva	3	3	1	4	2718
department-of-veterans-affairs	ChartReview	1	0	0	1	76048
