orgname	name
difi	datahotel
difi	brukar
difi	oxalis
difi	drupal7-module-brukar
difi	veileder-opnedata
difi	vefa-validator-conf
difi	vefa-validator-app
difi	datahotel-converter
difi	kontaktregisteret-klient
difi	begrep-Felles
difi	begrep-SikkerDigitalPost
difi	begrep-Oppslagstjenesten
difi	begrep-ID-porten
difi	sikker-digital-post-klient-java
difi	vefa-ehf-xslt
difi	sikker-digital-post-java-eksempel-jetty
difi	sikker-digital-post-java-eksempel-webclient
difi	cmsdetect
difi	sikker-digital-post-klient-dotnet
difi	move-integrasjonspunkt
difi	demo-ipeppol
difi	certvalidator
difi	vefa-smp-lookup
difi	felles-utility-dotnet
difi	oppslagstjeneste-klient-dotnet
difi	dcat-ap-no
difi	docker
difi	vefa-portal
difi	vefa-ehf-generators
difi	asic
difi	move-deploy-manager
difi	commons-libs
difi	vefa-validator
difi	vefa-esubmission
difi	vefa-sbdh
difi	vefa-peppol
difi	vefa-commons-libs
difi	datahotel-client
difi	sikker-digital-post-dokumentasjon-regresjonstester-dotnet
difi	vefa-preaward
difi	signeringstjeneste-testklient
difi	los
difi	data-skos
difi	move-service-registry
difi	vefa-guides
difi	vefa-validator-sbdh
difi	einnsyn-krav
difi	oxalis5
difi	idporten-saml-metadata-validator
difi	jenkins-docker
difi	cen-tc434
difi	docker-asciidoctor
difi	xmlsignature
difi	dc16-oidc-proxy
difi	dc16-digitalcitizen
difi	sikker-digital-post-dokumentasjon-regresjonstester-java
difi	poc-statistics
difi	dc16-signing
difi	vokabular-lov
