orgname	name
dvla	vdr-core
dvla	vehicles-online
dvla	os-address-lookup
dvla	vehicles-services-common
dvla	proxypy
dvla	vcloud-management-tools
dvla	vdr-stubs
dvla	vrm-retention-online
dvla	vdr
dvla	iep-messaging
dvla	vdr-auditing
dvla	vdr-ida-integration
dvla	vdr-services
dvla	vdr-customer-portal
dvla	vdr-mib-batch
dvla	vdr-data-migration
dvla	vdr-test-utils
dvla	vvr
dvla	dvla.github.io
dvla	vehicles-presentation-common
dvla	vehicles-acquire-online
dvla	evl-public-code
dvla	sbt-plugins
dvla	vehicles-change-keeper-online
dvla	pdf-generator
dvla	vrm-assign-online
dvla	oepp-project-archetypes
dvla	sdl-opensource
dvla	oepp-core
dvla	contact-center-modernisation
