orgname	name	star_count	forks	issues	contributors	size
e-gob	api-standards	18	2	0	5	248
e-gob	portal-de-datos	6	0	18	5	6172
e-gob	checklists	4	1	0	1	213
e-gob	dashboard-cxc	2	1	0	2	4148
e-gob	heartbleed.gob.cl	0	0	0	2	712
e-gob	e-gob.github.io	0	0	0	1	224
e-gob	postulaciones	1	0	0	2	5512
e-gob	cumplimiento-gob	1	1	13	2	15752
e-gob	cumplimiento	2	1	11	2	14522
e-gob	cumplimiento-ogp	0	0	0	0	14612
e-gob	gobcl-template	3	1	0	3	600
e-gob	desarrollo-digital	0	0	0	2	10316
e-gob	gobcl-wp	4	1	0	2	1767
e-gob	abreCL	0	1	2	2	13442
e-gob	datal-landing	0	0	0	3	10768
e-gob	transantiago-app	0	0	0	2	30368
