orgname	name	star_count	forks	issues	contributors	size
east-sussex-county-council	Escc.WebAuthorMonitoring	0	0	0	1	192
east-sussex-county-council	Escc.Redmine.Theme	0	0	0	1	108
east-sussex-county-council	Escc.CouncilPlan	0	0	0	1	2360
east-sussex-county-council	Escc.Cms.PageDeleter	0	0	0	1	112
east-sussex-county-council	Escc.Cms.SetDefaultResourceGallery	0	0	0	1	108
east-sussex-county-council	Escc.Search	0	0	0	1	108
east-sussex-county-council	Escc.Search.Google	0	0	0	1	108
east-sussex-county-council	Escc.Redmine.Sql	0	0	0	1	592
east-sussex-county-council	Escc.Search.Website	0	0	0	1	928
east-sussex-county-council	Escc.Cms.FindResourcesInWrongGallery	0	0	0	1	144
east-sussex-county-council	Escc.Cms.IdentifyUnusedResources	0	0	0	1	344
east-sussex-county-council	Escc.Cms.WebServices	0	0	0	1	116
east-sussex-county-council	Escc.Cms.ResourceHelper	0	0	0	1	120
east-sussex-county-council	Escc.Gritting.GrittingMap	0	0	0	1	960
east-sussex-county-council	Escc.Gritting	0	0	0	1	124
east-sussex-county-council	Escc.ResponsiveDesignDemo	0	0	0	1	176
east-sussex-county-council	Escc.Gritting.Decisions.Web	0	0	0	1	908
east-sussex-county-council	AccessEastSussex.Jobs	0	0	0	1	1296
east-sussex-county-council	Escc.WebsiteStyleGuide	0	0	0	1	340
east-sussex-county-council	Escc.TextEmailNewsletterStandard	0	0	0	1	128
east-sussex-county-council	Escc.DeviceDetection.WebService	0	0	0	1	132
east-sussex-county-council	Escc.RubbishAndRecycling.Website	0	0	0	1	136
east-sussex-county-council	Escc.TravelChoice.Website	0	0	0	1	980
east-sussex-county-council	Escc.HomePage.Website	0	0	0	1	984
east-sussex-county-council	Escc.AZ	0	0	0	1	1380
east-sussex-county-council	Escc.Events.Website	0	0	0	1	948
east-sussex-county-council	Escc.Politics	0	0	0	1	164
east-sussex-county-council	Escc.Schools.TermDates.Website	0	0	0	1	132
east-sussex-county-council	Escc.Schools.Website	0	0	0	1	1172
east-sussex-county-council	Escc.Data.Web	0	0	0	1	177
east-sussex-county-council	Escc.EastSussexGovUK	0	0	0	1	2316
east-sussex-county-council	Escc.ServiceClosures	0	0	0	1	180
east-sussex-county-council	Escc.Data.Xml	0	0	0	1	140
east-sussex-county-council	Escc.Feeds	0	0	0	1	140
east-sussex-county-council	Escc.Exceptions.Soap	0	0	0	1	112
east-sussex-county-council	Escc.NavigationControls	0	0	0	1	148
east-sussex-county-council	Escc.TextStatistics	0	0	0	1	140
east-sussex-county-council	Escc.AddressAndPersonalDetails	1	0	0	1	172
east-sussex-county-council	Escc.Egms	0	0	0	1	232
east-sussex-county-council	Escc.LocalOffer.Website	0	0	0	1	912
east-sussex-county-council	Escc.Data.ActiveDirectory	0	0	0	1	136
east-sussex-county-council	Escc.HouseStyle	0	0	0	1	224
east-sussex-county-council	Escc.Services	0	0	0	1	112
east-sussex-county-council	Escc.Services.Azure	0	0	0	1	112
east-sussex-county-council	Escc.AzureEmailForwarder	0	0	0	1	120
east-sussex-county-council	Escc.Umbraco.PropertyEditors	0	0	0	1	352
east-sussex-county-council	Escc.Elibrary	0	0	0	1	128
east-sussex-county-council	Escc.Umbraco	0	0	0	1	220
east-sussex-county-council	Escc.CustomerFocusTemplates.Website	0	0	0	1	584
east-sussex-county-council	Escc.AddressAndPersonalDetails.Controls	0	0	0	1	152
east-sussex-county-council	Escc.AzureDeployment	2	0	0	1	228
east-sussex-county-council	Escc.Alerts.Website	0	0	0	1	204
east-sussex-county-council	Escc.Home.Website	0	0	0	1	224
east-sussex-county-council	Escc.EastSussexGovUK.UmbracoDocumentTypes	0	0	0	1	256
east-sussex-county-council	Escc.CoreLegacyTemplates.Website	0	0	0	1	420
east-sussex-county-council	Escc.EastSussexGovUK.UmbracoViews	0	0	0	1	240
east-sussex-county-council	Escc.Cms.IdentifyUnusedGroups	0	0	0	1	100
east-sussex-county-council	Escc.Cms	0	0	0	1	260
east-sussex-county-council	Escc.ClientDependencyFramework	0	0	0	1	136
east-sussex-county-council	Escc.ContactUs.Website	0	0	0	1	984
east-sussex-county-council	Escc.WebApplicationSetupScripts	0	0	0	1	120
east-sussex-county-council	Escc.ModernGov.Website	0	0	0	1	116
east-sussex-county-council	Escc.EastSussexGovUK.Umbraco	0	0	0	1	0
