orgname	name	star_count	forks	issues	contributors	size
energyapps	doe-budget	0	0	0	1	764
energyapps	bestpractices	0	0	0	1	256
energyapps	templates	1	0	0	1	256
energyapps	solar	2	0	0	1	6600
energyapps	EM_timeline	0	0	0	1	93984
energyapps	labs	0	0	0	1	220
energyapps	sankey	0	0	0	1	312
energyapps	lpo	0	0	0	1	272
energyapps	budget_workflow	0	0	0	1	512
energyapps	app_frame	0	0	0	1	1376
energyapps	turbine	0	0	0	1	3584
energyapps	consumption-d3	0	0	0	1	656
energyapps	consumption	0	0	0	1	5048
energyapps	app-frame-foundation	0	0	0	1	4892
energyapps	geothermal	0	0	0	1	984
energyapps	production	0	0	0	1	3272
energyapps	PPPO_timeline	0	0	0	1	8988
energyapps	prod_over_years	0	0	0	1	1796
energyapps	climate-dash	0	0	0	1	0
