orgname	name	star_count	forks	issues	contributors	size
erdc-cm	buildbot-test	1	0	0	1	104
erdc-cm	HostTest	1	0	0	1	92
erdc-cm	levee-femtec2011	1	0	0	1	68576
erdc-cm	proteus	6	5	74	12	37940
erdc-cm	zlib	1	0	0	1	712
erdc-cm	triangle	4	2	0	1	293
erdc-cm	tetgen	1	1	0	1	384
erdc-cm	szip	1	0	0	1	480
erdc-cm	superlu	1	0	0	1	1784
erdc-cm	numexpr	3	1	0	0	834
erdc-cm	nose	1	0	0	1	408
erdc-cm	daetk	1	0	3	1	1320
erdc-cm	hdf5	1	0	0	1	8104
erdc-cm	python-hpcmp	2	0	0	1	388
erdc-cm	seminar	1	0	0	1	134236
erdc-cm	hpc3geo	1	0	0	1	7040
erdc-cm	mpi4py	4	1	0	3	4485
erdc-cm	petsc4py	1	0	1	5	4780
erdc-cm	petsc-BuildSystem	1	0	0	10	11676
erdc-cm	python	1	3	0	99	1401341
erdc-cm	proteus-notebooks	3	0	1	2	17972
erdc-cm	proteus-levees	1	0	0	1	243
erdc-cm	petsc-dev	0	0	0	28	493940
erdc-cm	jasper	0	0	0	1	1240
erdc-cm	grib_api	3	1	0	1	6676
erdc-cm	pyproj	2	0	0	1	4436
erdc-cm	pygrib	2	0	0	1	19216
erdc-cm	netCDF	0	0	0	1	4724
erdc-cm	netCDF4-Python	1	0	0	1	676
erdc-cm	polyfiles	0	0	0	1	780
erdc-cm	waveSolutions	0	0	0	1	140
erdc-cm	proteus-profile	0	0	0	1	1140
erdc-cm	single-beam-larc	0	3	2	3	906
erdc-cm	stationary-lidar	0	0	0	1	172
erdc-cm	colorado-precip	0	0	1	2	2700
erdc-cm	hello_world	0	0	0	1	4992
