orgname	name	star_count	forks	issues	contributors	size
etalab	weckan	5	1	2	2	3688
etalab	ckanext-etalab	0	1	0	1	644
etalab	biryani	0	21	0	3	754
etalab	etalab-to-ckan	0	0	0	0	5248
etalab	ckan-toolbox	0	0	0	1	244
etalab	etalab-ckan-harvesters	4	0	0	1	632
etalab	mediawiki-etalab-skin	0	1	0	2	1197
etalab	askbot-etalab-skin	0	0	0	1	340
etalab	etalab-assets	2	0	4	2	1782
etalab	etalab-ckan-scripts	0	1	0	2	782
etalab	ckan-of-worms	0	0	0	1	776
etalab	ckanext-fedmsg	2	0	1	0	128
etalab	cowbots	0	0	0	1	516
etalab	youckan	8	2	0	2	996
etalab	etalab-assets-demo-images	0	0	0	2	672
etalab	ckanext-oauth2	3	0	0	1	125
etalab	ckanext-youckan	0	1	1	1	420
etalab	dactylo	0	0	0	0	220
etalab	etalab-support	3	0	13	2	800
etalab	landing-page	0	0	0	2	236
etalab	cada	8	3	0	4	510
etalab	ckanext-sentry	1	1	1	1	108
etalab	udata	4	2	0	2	2318
etalab	udata-gouvfr	0	0	0	1	1816
etalab	udata-cow	0	0	0	1	148
etalab	udata-youckan	1	1	0	1	256
etalab	ban-geocode	1	2	6	1	293
etalab	udata-piwik	0	0	0	1	100
etalab	udata-sentry	0	0	0	1	100
etalab	cle-interoperabilite-adresse	1	0	0	2	140
etalab	adresse.data.gouv.fr	0	0	0	2	1608
etalab	addok	2	2	6	2	522
