orgname	name	star_count	forks	issues	contributors	size
europeana	Europeana-Cloud	8	2	0	12	6066
europeana	Europeana-Creative	3	3	5	4	32470
europeana	openculture	12	5	0	2	80568
europeana	Europeana1914-1918	3	1	0	6	156400
europeana	europeana-client	4	4	6	5	715
europeana	tools	1	0	0	6	272796
europeana	uim-europeana	1	0	0	4	38004
europeana	uim-core	3	0	0	7	14124
europeana	api2	1	1	0	6	2139
europeana	corelib	5	1	0	8	218736
europeana	portal	5	1	0	7	72634
europeana	contrib	1	5	0	7	217695
europeana	GlobalNav	0	0	0	2	604
europeana	exhibitions	2	0	0	3	344360
europeana	portal_translations	0	0	1	6	91488
europeana	Europeana-Patternlab	2	2	0	4	6895
europeana	statistics	2	2	5	6	14599
europeana	annotation	0	0	8	1	30271
europeana	Labs	2	2	0	15	52515
europeana	OAI-PMH	0	0	0	3	1264
europeana	ImageHarvester	2	0	0	3	10536
europeana	REPOX	1	1	5	2	7350
europeana	mint2	2	1	0	0	27604
europeana	labs-dev	0	0	0	1	36652
europeana	labs-acceptance	0	0	0	1	37172
europeana	labs-accepetance-website	0	0	0	0	37088
europeana	labs-preview	1	3	0	9	52146
europeana	labs-preview-website	0	0	0	0	57656
europeana	labs-dev-website	0	0	0	1	36576
europeana	WPBlog	0	1	0	1	8700
europeana	publication	0	0	0	2	384
europeana	europeana-client-ruby	1	0	0	1	196
europeana	Europeana-Professional	1	0	0	6	22830
europeana	openskos-client-ruby	0	0	0	1	160
europeana	mongo-file-storage	0	0	0	1	0
europeana	metis	0	0	0	3	85572
europeana	filebrowser	0	0	0	2	184
europeana	europeana-channels-blacklight	1	0	0	2	4078
europeana	data-exporter	1	0	0	2	608
europeana	europeana-static	0	0	0	0	0
