orgname	name	star_count	forks	issues	contributors	size
fcc	DeveloperView	7	2	0	2	773
fcc	Crawler	50	24	2	2	138
fcc	Sitemaps	8	3	1	1	96
fcc	QSearch	2	0	0	1	620
fcc	jQuery-and-Google-Analytics-Tools	6	2	1	2	120
fcc	Look-and-Feel-Wrapper	3	2	0	2	98
fcc	National-Broadband-Map-Web-App	8	3	2	1	236
fcc	Faceted-Search-Widget	7	5	0	1	108
fcc	NBM-Processing	6	2	1	3	889
fcc	Digital-Strategy-Progress	4	1	0	1	104
fcc	Auction901-Results	1	0	0	1	14004
fcc	lpfm	11	1	0	1	1868
fcc	lpfmpoints	16	48	0	3	286
fcc	rightrail	2	1	0	2	2460
fcc	calltraffic	12	13	0	6	1782
fcc	pirateaction2	2	1	0	2	596
fcc	mobile-mba-converter	1	3	1	4	1068
fcc	JSON2CSV-PHP	4	2	0	2	118
fcc	clearinghouseSDK	5	0	0	0	262
fcc	am-tower-locator	2	9	1	2	426
fcc	SABdata	3	13	0	1	698849
fcc	modernizing-e-rate-101	1	0	0	1	284
fcc	Constraint-Generator	1	2	0	1	97070
