orgname	name	star_count	forks	issues	contributors	size
fccdata	usf_erate_fy2010	4	1	1	1	33450
fccdata	ib-traffic-2010	0	0	0	1	196
fccdata	unserved_fixed_broadband	0	1	1	1	357434
fccdata	spectrum-band-plans	1	1	0	1	140
fccdata	vagrant-synthetic-data-machine	1	0	0	1	4084
fccdata	RuralHealthPilot	0	0	0	1	568
fccdata	706_map	0	0	0	0	408
fccdata	fccdata	0	0	0	0	112
fccdata	caf1_round2	0	0	0	1	3988
fccdata	CGSA	1	2	0	1	14420
fccdata	cost_map	0	0	0	0	116
fccdata	cgsamap	0	1	0	1	49497
fccdata	cost_model_illustration	0	1	0	1	445
fccdata	erate-map	0	2	1	4	482
fccdata	cost_model_map	1	0	0	1	668
fccdata	wireless-license-boundaries	0	0	0	1	104
