orgname	name	star_count	forks	issues	contributors	size
gabinetedigital	gd	9	4	45	6	59273
gabinetedigital	videre	0	0	0	2	216
gabinetedigital	wpgp	1	0	0	3	336
gabinetedigital	wpgd	1	1	0	3	306
gabinetedigital	exapi	1	0	0	3	224
gabinetedigital	wp-widgetgd	1	0	0	3	268
gabinetedigital	wp-oquegd	0	0	0	1	116
gabinetedigital	wp-clippinggd	0	0	0	1	112
gabinetedigital	wp-equipegd	0	0	0	2	132
gabinetedigital	wp-govescuta	0	0	0	1	124
gabinetedigital	GabDig	0	0	0	2	172
gabinetedigital	wp-govpergunta	0	0	0	1	128
gabinetedigital	wp-monitoramento	1	0	1	1	452
gabinetedigital	seminariodata	0	0	0	2	3212
gabinetedigital	TrabalheNoGabineteDigital	6	3	0	4	114
gabinetedigital	gabinetedigital.github.io	1	1	0	1	1492
gabinetedigital	siig	0	1	0	2	8577
