orgname	name
gbv	picatextarea
gbv	GBV-RDF-Namespaces
gbv	transformers
gbv	lbs2daia
gbv	daia
gbv	gbvdoc
gbv	swib11app
gbv	picamodbot
gbv	GBV-App-Itemids
gbv	paia
gbv	beaconspec
gbv	beacon.jar
gbv	gbv.github.com
gbv	sparql-test
gbv	PICA-Edit
gbv	PICA-Modification
gbv	PICA-Modification-App
gbv	PICA-Record
gbv	beacon-js
gbv	ssso
gbv	libsites
gbv	publikationslisten-php
gbv	gbv-csl
gbv	daia-config
gbv	citeproc-php
gbv	gsomenu
gbv	daiaspec
gbv	dso
gbv	bibapp-ios
gbv	bibapp-android
gbv	gbv-ontology
gbv	findex-config
gbv	OA-Statistik
gbv	libsites-config
gbv	Catmandu-PICA
gbv	Catmandu-Tutorial
gbv	aREF
gbv	dbinfo
gbv	App-PAIA
gbv	libso
gbv	App-Cocoda
gbv	cocoda
gbv	vzg-apis
gbv	ng-skos
gbv	zdbid
gbv	ng-suggest
gbv	ng-daia
gbv	lod303
gbv	gbvontology
gbv	coverdienst
gbv	cocoda-mappings
gbv	JITA
gbv	mtest
gbv	jskos
gbv	PICA-Data
gbv	Data-BEACON
gbv	Catmandu-Plack-unAPI
gbv	unapi-catmandu
gbv	wmbeacons
gbv	itemcount
gbv	seealso
gbv	ng-sru
gbv	gndaccess
gbv	jskos-api
gbv	gbvconverter
gbv	coli-conc.gbv.de
gbv	showcase
gbv	paia-rdf
gbv	ng-paia
gbv	daia-rdf
gbv	cocoda-db
gbv	vzgdaia
gbv	travis-docker-test
gbv	OLE-admin
gbv	jskos-data
gbv	kos-suggest
gbv	bartoc2wikidata
gbv	skos2jskos
gbv	daia-check
gbv	paia-oauth
gbv	doctor-doc
gbv	pica-format-database
gbv	jskos-php
gbv	coli-conc-tr
gbv	marc-classification-jskos
gbv	jskos-php-examples
gbv	Lukida
gbv	elma
gbv	wikidata-jskos
gbv	bartoc-dumps
gbv	concept-browser
