orgname	name	star_count	forks	issues	contributors	size
gcba	visualizaciones-gcbadata	4	2	1	3	71086
gcba	edac2000_cleaner	1	0	0	1	100
gcba	chappa	2	0	0	3	3658
gcba	widget_ptp	6	1	2	1	452
gcba	gcba.github.io	1	0	0	2	148
gcba	fcttj	0	0	0	1	92
gcba	Scrapy-Django	3	3	0	1	304
gcba	CoolSlider	1	0	0	1	292
gcba	BAPI-service_inspector	0	0	0	1	160
gcba	git-score	0	0	0	1	148
gcba	monday-report	0	0	0	1	104
gcba	bawifi	4	1	0	1	2963
gcba	educacion	1	0	0	2	9835
gcba	newsletter	0	0	0	2	1472
gcba	iconos	4	3	0	5	100039
gcba	infoDisplay	0	0	0	1	108
gcba	BAGOB	0	0	1	1	112
gcba	scripts-gcbadata	0	0	0	1	128
gcba	mapa-de-obras	0	0	0	2	12528
gcba	gcaba_drupal_form	1	0	0	1	356
gcba	guiaux	1	1	0	1	148
gcba	estandar-sensores	0	0	0	1	144
gcba	expobici	3	0	1	3	40636
gcba	zeromq-arduino-example	9	2	0	1	144
gcba	sensor-bicis	4	2	0	2	7763
gcba	hackdash-bahackaton	0	1	0	2	1011
gcba	BAFICI	3	0	0	3	3400
gcba	mapa-emprendedores	0	2	0	2	12966
gcba	django-oidc	0	0	0	1	0
gcba	egov-dashboard	0	0	0	2	2652
gcba	visualizacion3D-gpx	0	0	0	1	12840
gcba	chartRadialFisico	0	0	0	1	132
gcba	baid-openid-client-php	1	0	0	1	148
gcba	Desafio-Minimos-Cuadrados	0	0	0	1	124
gcba	sensores	1	1	0	2	460
gcba	captura-osc	1	1	8	3	8933
gcba	presupuesto-gcba	2	1	1	3	4244
gcba	expertnet	0	0	0	1	168
gcba	Sulma	1	0	0	2	164
gcba	datafest2014	1	0	0	3	181052
