orgname	name	star_count	forks	issues	contributors	size
gds-attic	rack-geo	6	2	0	9	184
gds-attic	decision-tree	4	1	0	4	115
gds-attic	need-o-tron	25	7	1	22	1493
gds-attic	winston	1	0	0	1	136
gds-attic	sign-on-o-tron	8	0	0	12	235
gds-attic	geogov	5	1	0	7	180
gds-attic	jobs	3	2	0	8	2999
gds-attic	planner	2	0	0	22	592
gds-attic	packages	4	0	0	9	55636
gds-attic	fco	3	0	0	7	2400
gds-attic	contact-o-tron	2	0	0	5	292
gds-attic	scala-router	11	2	0	18	1522
gds-attic	passphrase_entropy	7	2	0	2	148
gds-attic	migratorator	5	1	1	11	2824
gds-attic	review-o-matic	4	1	0	8	2542
gds-attic	datainsight-frontend	18	4	0	15	5063
gds-attic	datainsight-narrative-collector	1	0	0	5	95
gds-attic	datainsight-narrative-recorder	1	0	0	6	1005
gds-attic	datainsight-weekly-reach-recorder	1	0	0	9	371
gds-attic	boxes	4	2	0	7	338
gds-attic	datainsight-todays-activity-recorder	0	0	0	7	388
gds-attic	datainsight-ga-collector	2	1	0	8	879
gds-attic	datainsight-nongovuk-reach-collector	0	0	0	6	224
gds-attic	datainsight_logging	0	0	0	2	155
gds-attic	datainsight-ga-functional-test	0	0	0	1	95
gds-attic	datainsight-format-success-recorder	0	0	0	7	382
gds-attic	datainsight-everything-recorder	0	0	0	4	136
gds-attic	govuk_spider	1	1	0	1	152
gds-attic	govuk-search-health	0	0	0	2	266
gds-attic	government-digital-strategy	20	13	9	14	5828
gds-attic	datainsight_recorder	0	0	0	4	272
gds-attic	datainsight-insidegov-recorder	0	0	0	8	752
gds-attic	vcloudtools	2	5	1	2	190
gds-attic	trade-tariff-suite	0	2	1	2	220
gds-attic	datainsight_collector	0	0	0	3	288
gds-attic	datainsight-insidegov-collector	0	0	0	3	284
gds-attic	datainsight-govuk-collector	0	0	0	2	164
gds-attic	limelight	5	3	0	21	39944
gds-attic	transaction-wrappers	0	0	0	15	1243
gds-attic	transition-old	0	1	0	10	3396
gds-attic	backdrop-ga-collector	1	3	1	13	2070
gds-attic	machine-bootstrap	6	2	0	8	285
gds-attic	puppet-backdrop	1	2	0	5	164
gds-attic	fact-cave	1	2	0	8	1180
gds-attic	backdrop-ga-realtime-collector	0	0	0	15	1416
gds-attic	backdrop-pingdom-collector	0	1	0	11	557
gds-attic	backdrop-collector	2	3	0	12	968
gds-attic	gantry	12	2	2	2	250
gds-attic	fco-services	2	1	0	12	1232
gds-attic	pp-development	4	2	1	16	1375
gds-attic	puppet-elasticsearch	1	3	0	8	338
gds-attic	open-source-guidelines	1	2	0	4	194
gds-attic	vcloud-net-spinner	2	1	0	7	560
gds-attic	puppet-google_credentials	1	1	0	1	38
gds-attic	vcloud-box-spinner	1	2	0	7	397
gds-attic	gds-attic.github.io	1	0	0	1	140
gds-attic	review-o-matic-explore	0	1	0	5	68
gds-attic	DataGov	1	1	0	1	1352
gds-attic	vcloud-core-TEST	0	0	0	1	172
gds-attic	finder-api	1	2	0	16	2152
gds-attic	backdrop-ga-trending-collector	0	0	0	4	404
gds-attic	govuk_redirector-puppet	1	0	0	9	604
gds-attic	cma-crawlers	1	1	1	1	2276
gds-attic	backdrop-collector-plugins	1	3	0	4	511
gds-attic	vcloud-disk_launcher	0	1	1	2	144
