orgname	name	star_count	forks	issues	contributors	size
gds-operations	unicornherder	117	12	1	14	822
gds-operations	puppet-rbenv	1	0	0	9	559
gds-operations	puppet-skeleton	21	8	2	10	411
gds-operations	puppet-syntax	36	16	3	16	621
gds-operations	puppet-resolvconf	1	7	0	8	409
gds-operations	puppet-hosts	1	1	0	4	196
gds-operations	monitoring-inabox	5	2	1	5	128
gds-operations	puppet-graphite	6	11	3	14	679
gds-operations	puppet-openconnect	0	1	0	6	349
gds-operations	puppet-updatemotd	1	0	0	3	244
gds-operations	puppet-auditd	9	4	0	11	775
gds-operations	vcloud-walker	8	9	5	10	1397
gds-operations	vcloud-tools	21	16	1	13	2739
gds-operations	vcloud-core	6	14	7	12	2106
gds-operations	collectd-cdn	4	2	0	4	380
gds-operations	vcloud-edge_gateway	2	6	8	12	1938
gds-operations	vcloud-net_launcher	2	2	2	11	1099
gds-operations	puppet-aptly	11	5	3	5	336
gds-operations	vcloud-launcher	5	7	7	14	1499
gds-operations	vcloud-tools-tester	1	1	3	7	535
gds-operations	gds-operations.github.io	0	0	0	5	544
gds-operations	puppet-goenv	0	0	0	3	196
