orgname	name	star_count	forks	issues	contributors	size
gsa	fckeditor	0	1	0	1	1248
gsa	datafiles-wordpress-plugin	5	1	2	1	119
gsa	federal-open-source-repos-php	3	2	0	1	111
gsa	federal-open-source-repos	34	13	1	4	424
gsa	federal-open-source-repos-ruby	1	0	0	2	96
gsa	ckanext-geodatagov	16	10	13	16	37805
gsa	digital-strategy	12	11	0	2	453
gsa	digital-strategy-report-generator	10	7	5	4	330
gsa	uReport	0	1	1	1	22048
gsa	mygov-mobile-first-foundation	5	3	0	2	303
gsa	slash-developer-pages	58	13	45	2	963
gsa	pdf-filler	50	13	1	5	1819
gsa	epa_uv_index	2	2	0	2	122
gsa	omniauth-mygov	2	2	0	2	57
gsa	mygov-bar	7	3	0	5	1128
gsa	mygov-discovery	7	4	1	7	917
gsa	mygov-forms	3	4	1	6	872
gsa	DataBeam	18	7	13	2	2715
gsa	benefits-mockup	1	4	0	2	2608
gsa	recalls_api	14	12	0	3	437
gsa	jobs_api	12	3	0	3	14811
gsa	mygov-feedback-reporting	1	2	0	1	262
gsa	DAP-Gov-wide-GA-Code	4	9	8	1	344
gsa	mygov-account	11	11	1	15	8119
gsa	labs-html	1	1	1	4	3416
gsa	mygov-account-php-sdk	1	2	0	1	2291
gsa	usa-faqs	0	3	0	30	7175
gsa	idm	0	1	0	7	16660
gsa	unclaimed_money	3	3	3	6	2388
gsa	GSA-APIs	4	1	28	1	179
gsa	ckanext-saml2	0	2	1	1	224
gsa	data.gov	371	105	142	19	13181
gsa	SMR-site-embed	0	1	0	1	136
gsa	Mobile-Code-Catalog	10	10	4	6	1394
gsa	Mobile-Web-Manual-Testing-Script	1	2	0	1	107
gsa	myusa-account-demo	2	1	0	5	616
gsa	federal-apps-gallery-widgets	1	6	0	1	657
gsa	mygov-admin-tasks	3	2	1	1	14906
gsa	myusa-tasks	1	1	0	1	344
gsa	Crowdsource-Testing-USDA_FSIS	0	4	38	1	58
gsa	hyabusa	2	1	0	2	1802
gsa	modus-operandi	0	1	0	1	248
gsa	just_inform	4	1	3	2	4413
gsa	just_inform_web	3	0	2	1	460
gsa	.Gov-Content-as-an-API	5	1	1	1	181
gsa	project-open-data-dashboard	18	6	34	5	5215
gsa	embedding-data-catalogs	0	1	0	1	186
gsa	enterprise-data-inventory	3	1	48	2	270
gsa	Crowdsource-Testing-CIO.gov	1	3	15	1	150
gsa	govt-urls	20	3	0	5	1603
gsa	logo	0	1	2	4	6566
gsa	datagov-design	3	2	0	1	47827
gsa	twitter-widgets-gallery	0	1	0	1	132
gsa	Template-Microsite	1	2	0	1	207
gsa	Open-Data-Collaboration-Sandbox	8	14	3	7	891
gsa	Very-Simple-API	3	3	3	3	354
gsa	Developer-Feedback-for-Government-APIs	9	2	24	3	210
gsa	search.digitalgov.gov	0	2	0	7	23803
gsa	API-Resources	4	5	1	4	344
gsa	ckan-php-client	1	1	0	2	411
gsa	ckan-php-manager	2	0	0	2	596
gsa	wp-open311	3	1	0	1	750
gsa	pod-schema-variants	0	1	0	1	184
gsa	PricesPaidAPI	1	1	0	3	7985
gsa	sam_api	3	8	26	15	1833
gsa	idp	0	2	0	2	9158
gsa	arcgis-map	0	1	0	2	160
gsa	custom-contact-forms	0	1	0	2	504
gsa	custom-post-view-generator	0	0	0	2	1220
gsa	datagov-custom	0	0	0	3	348
gsa	metric-count	1	0	0	2	1348
gsa	restrict-categories	0	1	0	2	172
gsa	saml-20-single-sign-on	0	1	0	2	1284
gsa	sticky-posts-in-category	0	1	0	2	160
gsa	suggested-datasets	0	1	0	2	168
gsa	twitter-posts-to-blog	0	1	0	3	252
gsa	twitter-widget-pro	0	1	0	2	220
gsa	usa-search	0	1	0	3	233
gsa	wordpress-seo	0	1	0	2	2140
gsa	wp-sitemap-page	0	1	0	2	400
gsa	Open-And-Structured-Content-Models	11	10	10	1	254
gsa	Crowdsource-Testing-DFAS.mil	1	1	35	1	156
gsa	FedCMS-Slider	0	1	0	1	936
gsa	Crowdsource-Testing-HHS-ACF.gov	1	1	6	1	152
gsa	govt-urls-api	1	0	0	5	1164
gsa	instant-comment-validation	0	0	0	1	138
gsa	asis	13	3	0	2	537
gsa	simple-tooltips	0	0	0	1	120
gsa	wp-external-links	0	0	0	1	342
gsa	Crowdsource-Testing-NOAA-CrowdMag	0	1	10	1	163
gsa	Crowdsource-Testing-ABMC.gov	0	0	6	1	172
gsa	IAE-Architecture	2	2	0	4	11443
gsa	auctions_api	0	3	6	4	1414
gsa	datagov-presentations	1	1	0	1	5143
gsa	testsite922	0	0	0	1	184
gsa	Crowdsource-Testing-HHS-MAIN	0	0	7	1	124
gsa	data.gov-styleguide	1	5	5	3	168
gsa	developers	0	0	14	1	212
gsa	data	19	2	4	2	1267
gsa	data.json-template	0	0	0	1	412
gsa	sites-digitalgov-search	1	0	0	2	180
gsa	Very-Simple-API-2	2	0	0	1	128
gsa	simple-catalog-generator	3	0	2	1	172
gsa	sitelink_generator	0	0	0	1	128
gsa	openIAE	4	4	4	5	6443
gsa	punchcard	1	0	0	2	162
gsa	Crowdsource-Testing-NOAA-CrowdMag--iOS	0	0	12	1	784
gsa	Crowdsource-Testing-Central-Artifact-Repository	0	0	0	1	428
gsa	fssi-csv-validation	0	0	0	1	27830
gsa	social-media-registry-api	0	1	0	1	1199
gsa	labs	0	0	0	1	0
gsa	fssi-file-processor	1	0	0	1	45885
gsa	analytics.usa.gov	8	1	23	6	1399
gsa	https	5	1	6	3	428
gsa	Crowdsource-Testing-NIH-HCI-1-2015	1	0	10	1	300
