orgname	name	star_count	forks	issues	contributors	size
gsi-cyberjapan	next	8	1	9	0	556
gsi-cyberjapan	ckanext-basemaps	2	0	0	0	132
gsi-cyberjapan	jmp2ckan	1	0	0	0	140
gsi-cyberjapan	vector-tile-experiment	5	3	5	2	342
gsi-cyberjapan	layers-dot-txt-spec	0	0	0	0	144
gsi-cyberjapan	style-dot-js-spec	0	0	0	0	112
gsi-cyberjapan	geojson-with-style-spec	2	0	0	0	140
gsi-cyberjapan	escape-route	0	0	0	0	220
gsi-cyberjapan	ontake	0	1	0	0	341
gsi-cyberjapan	ontake-3d	0	0	0	0	3592
gsi-cyberjapan	mapuse4	2	2	1	0	213
gsi-cyberjapan	elevation-php	0	1	0	0	106
gsi-cyberjapan	dnd-ol3	0	1	0	0	113
gsi-cyberjapan	experimental_dem	4	0	0	0	152
gsi-cyberjapan	experimental_fgd	4	4	0	1	154
gsi-cyberjapan	cocotile-mkmokuroku	0	0	0	0	136
gsi-cyberjapan	cocotile-mokuroku2csv	0	0	0	0	128
gsi-cyberjapan	cocotile-csv2cocotile	0	0	0	0	120
gsi-cyberjapan	mokuroku-spec	0	0	0	0	192
gsi-cyberjapan	mokuroku-generator	1	0	0	0	164
gsi-cyberjapan	gsimaps	154	7	0	1	0
