orgname	name	star_count	forks	issues	contributors	size
hpc	libcircle	42	6	4	4	1974
hpc	supermagic	5	1	0	1	656
hpc	mpimemu	4	1	0	1	1560
hpc	MPI-Examples	18	7	0	0	138
hpc	Parallel-coreutils	3	1	0	0	8332
hpc	sprintstatf	1	0	0	1	100
hpc	dcp	121	7	7	2	2023
hpc	lustre	0	3	0	15	45802
hpc	cce-mpi-openmpi-1.4.3	0	1	0	1	7754
hpc	cce-mpi-openmpi-1.4.4	2	0	0	1	7936
hpc	libdftw	14	1	0	1	452
hpc	mpileaks	1	0	0	1	624
hpc	dtcmp	2	0	0	2	1022
hpc	give	2	0	0	2	1547
hpc	openmpi-plat	1	0	0	1	104
hpc	iptablesbuild	4	3	0	1	1069
hpc	lwgrp	3	1	0	1	1506
hpc	matmult-toy	0	0	0	1	116
hpc	mpi-smp-comm	0	1	0	1	103
hpc	scr	5	1	1	2	4672
hpc	rca-mesh-coords	1	0	0	1	108
hpc	cce-mpi-openmpi-1.7.1	0	0	0	1	13788
hpc	cce-mpi-openmpi-1.6.4	0	0	0	1	12416
hpc	gnawts	3	3	10	4	1446
hpc	Spindle	13	0	0	2	2040
hpc	mpi-sig-tester	0	0	0	1	104
hpc	cce-mpi-mvapich2-1.9	0	0	0	1	21040
hpc	cruise	3	0	0	3	1920
hpc	OpenLorenz	2	0	0	1	25764
hpc	ppsst	2	0	0	1	196
hpc	hybridize	12	1	0	2	172
hpc	ethcfg	1	0	0	2	164
hpc	genpxe	2	0	0	1	144
hpc	pexec	1	0	0	2	256
hpc	clusterscripts	3	0	0	1	233
hpc	hypnotoad	0	0	0	1	456
hpc	hpc.github.io	0	0	0	1	196
hpc	perceus-reload	1	0	0	2	136
