orgname	name	star_count	forks	issues	contributors	size
informaticslab	site	1	1	0	4	404096
informaticslab	code	1	0	0	1	172
informaticslab	lab-graphics	0	1	0	4	69051
informaticslab	rpms	0	0	0	1	4316
informaticslab	ptt-advisor	0	0	0	2	1160
informaticslab	shirly	0	1	0	3	19601
informaticslab	phtweet	0	0	0	1	59664
informaticslab	clip	0	0	0	2	1572
informaticslab	healthnews	0	0	0	1	27316
informaticslab	commsphere	0	0	0	1	56832
informaticslab	samwise	0	0	0	1	17092
informaticslab	vrminesim	1	0	0	1	12760
informaticslab	nomenclature	0	0	0	1	24436
informaticslab	toxguide	1	0	0	2	360
informaticslab	phix	0	0	0	1	200732
informaticslab	mmwr-nav	0	0	0	2	10792
informaticslab	mmwr-map	0	0	0	2	396
informaticslab	respguide	0	0	0	2	416
informaticslab	std1	0	0	0	2	1888
informaticslab	std2	0	0	0	2	2528
informaticslab	mobile-framework-testing-apps	0	0	0	1	16732
informaticslab	informaticslab.github.com	0	0	0	1	160
informaticslab	pedigree	0	0	0	3	1448
informaticslab	retro	0	0	0	2	1020
informaticslab	bluebird	0	0	0	1	820
informaticslab	photon	1	2	0	2	5572
informaticslab	apollo	0	1	0	6	8057
informaticslab	lydia-jqm	0	0	0	1	8528
informaticslab	lydia-droid	0	0	0	1	3260
informaticslab	lydia-py	0	0	0	1	444
informaticslab	lydia-ios	0	0	0	1	1980
informaticslab	iiu-glass	0	0	0	1	224
informaticslab	photon-droid	0	0	0	1	324
informaticslab	ebolocatemp-ios	0	0	0	2	768
informaticslab	VAECalc	0	0	0	1	0
informaticslab	LabSafe	0	0	0	1	0
informaticslab	cardboard	0	0	0	1	108
informaticslab	AppLabSite	0	0	0	3	75824
informaticslab	sitemon	0	0	0	1	156
informaticslab	umlsoapnode	0	0	0	1	132
informaticslab	umlsoapjava	0	0	0	1	284
informaticslab	applab	0	0	0	1	168620
informaticslab	wp-applab	0	0	0	1	0
