orgname	name	star_count	forks	issues	contributors	size
interlegis	colab-git	3	1	0	1	116
interlegis	il.portalinterlegis	2	0	0	6	1480
interlegis	sigi	5	5	0	9	26743
interlegis	puppet-postfix	1	0	0	1	144
interlegis	puppet-davical	0	0	0	1	132
interlegis	puppet-etherpad	1	0	0	1	112
interlegis	saal	0	2	0	1	3460
interlegis	puppet-heartbeat	1	0	0	1	112
interlegis	puppet-thunderbird	0	0	0	1	144
interlegis	puppet-dovecot	0	0	0	1	176
interlegis	puppet-moodle	1	1	1	1	168
interlegis	moodle_profilefield_cpf	0	0	0	1	144
interlegis	moodle_certificates	0	0	1	3	1168
interlegis	moodle_theme	0	0	0	1	424
interlegis	puppet-dnsshim	0	0	0	1	140
interlegis	dnsshim	3	1	0	2	10175
interlegis	puppet-bacula	0	0	0	1	152
interlegis	puppet-fusiondirectory	0	0	0	1	168
interlegis	moodle_block_verify_certificate	0	0	0	1	176
interlegis	fusiondirectory-interlegis-svcs	0	0	0	1	184
interlegis	moodle_enrol_ilbead	0	0	0	2	180
interlegis	moodle_theme_ilb2014	0	0	0	1	304
interlegis	puppet-certificates	1	0	0	1	140
interlegis	moodle_tool_forgotten	0	0	0	1	152
interlegis	puppet-web2py	0	0	0	1	140
interlegis	sapl	4	0	0	1	0
interlegis	saap	1	0	0	1	0
interlegis	puppet-piwik	0	0	0	1	176
interlegis	puppet-factsdir	0	0	0	1	160
interlegis	moodle_get_certificate	0	0	0	1	148
interlegis	puppet-vfense	0	1	0	1	175
interlegis	moodle_enrol_ilbeadtutorado	0	0	0	2	192
interlegis	puppet-squid3	0	0	0	1	148
interlegis	moodle_report_ilbenrol	0	0	0	2	208
interlegis	interlegis.portalmodelo.transparency	0	0	0	4	328
interlegis	interlegis.portalmodelo.api	0	0	0	3	260
interlegis	interlegis.portalmodelo.buscadores	0	0	0	3	272
interlegis	interlegis.portalmodelo.ombudsman	0	0	0	3	284
interlegis	interlegis.portalmodelo.pl	0	0	0	4	348
interlegis	interlegis.portalmodelo.policy	0	0	0	4	2544
interlegis	interlegis.portalmodelo.theme	0	0	0	5	6080
interlegis	interlegis.intranetmodelo.departments	0	0	0	3	244
interlegis	interlegis.intranetmodelo.policy	2	0	0	3	424
interlegis	portalmodelo	2	1	0	4	285
interlegis	portalmodelo-unifiedinstaller	0	0	0	2	316
interlegis	fusiondirectory-interlegis-admin	0	0	0	1	192
interlegis	fusiondirectory-interlegis-schema	0	0	0	1	188
interlegis	puppet-nfs	1	0	0	1	148
interlegis	puppet-buildout	0	0	0	1	196
interlegis	moodle_report_messages	0	0	0	2	196
interlegis	interlegis.recipe.sapl	0	0	0	1	156
interlegis	puppet-webacula	0	0	0	1	140
interlegis	interlegis.github.io	0	0	0	1	116
interlegis	fusiondirectory-varnishnginx-schema	1	0	0	1	140
interlegis	fusiondirectory-varnishnginx	2	0	0	1	144
interlegis	puppet-varnishnginx-fd	0	0	0	1	140
interlegis	moodle_mod_abook	0	0	0	1	1188
interlegis	moodle_profilefield_autocomplete	0	0	0	1	136
interlegis	puppet-interlegis-python-devtools	0	0	0	1	152
interlegis	regcert	0	0	0	2	592
interlegis	puppet-realmd	0	0	0	1	0
