orgname	name	star_count	forks	issues	contributors	size
kbase	shock_service	0	6	0	18	11345
kbase	handle_service	1	5	2	18	11289
kbase	m5nr	1	2	1	8	1179
kbase	awe_service	0	7	0	11	513
kbase	mgrast_pipeline	0	3	0	5	332
kbase	metadata	0	1	0	2	161
kbase	kbwf_common	0	2	0	4	210
kbase	data_bootstrap	0	1	0	3	2233
kbase	awe_utils	0	0	0	2	152
kbase	id_map	0	1	0	4	751
kbase	awe_monitor	0	0	0	2	188
kbase	amethst_service	1	1	0	4	5316
kbase	browse	0	0	0	3	15440
kbase	dev_container	0	5	2	16	397
kbase	auth_lite	0	0	0	3	371
kbase	rdptools	0	0	0	4	2908
kbase	registry	0	0	0	4	676
kbase	invocation	0	3	0	13	18165
kbase	idserver	0	2	0	11	712
kbase	kb_seed	1	3	2	13	8800
kbase	genome_annotation	0	2	1	10	2180
kbase	kb_model_seed	0	1	0	6	603
kbase	KBaseFBAModeling	1	5	5	14	4262
kbase	integration_examples	0	0	0	2	176
kbase	assembly	5	5	60	9	3164
kbase	workspace_deluxe	0	2	0	4	21714
kbase	jars	0	5	3	8	61904
kbase	kbapi_common	0	2	0	8	1182
kbase	trees	0	1	1	11	105851
kbase	typecomp	0	4	0	9	705
kbase	cap	0	0	0	4	10737
kbase	kmer_annotation_figfam	0	1	0	4	247
kbase	strep_repeats	0	0	0	3	1685
kbase	user_and_job_state	0	0	0	3	1468
kbase	probabilistic_annotation	0	0	0	4	1260
kbase	java_common	0	1	0	3	1648
kbase	ui-common	1	15	0	25	28540
kbase	narrative	4	15	31	24	46414
kbase	docs	0	2	0	28	109356
kbase	communities_api	0	2	0	11	9766
kbase	communities_qc	0	0	0	4	224
kbase	kbrest_common	0	0	0	3	168
kbase	matR	0	1	0	8	2467
kbase	cdd_service	0	0	0	2	148
kbase	prom_service	0	0	0	3	868
kbase	MAK	0	0	0	2	68464
kbase	networks	0	1	0	11	38161
kbase	cmonkey	0	0	0	2	26380
kbase	inferelator	0	0	0	2	7248
kbase	meme	0	2	1	2	13492
kbase	uploader	0	7	0	10	1436
kbase	ontology_service	0	1	0	9	414
kbase	jnomics	0	0	0	6	79876
kbase	auto-deploy	0	0	0	2	128
kbase	coexpression	0	2	0	4	243
kbase	auth_service	0	0	0	11	3163
kbase	expression	0	2	0	8	1335
kbase	protein_structure_service	0	0	0	2	16164
kbase	gwas	0	0	0	3	292
kbase	simple_fba	0	0	0	3	196
kbase	handle_mngr	0	1	0	4	170
kbase	KBaseModelingClient	0	0	0	2	120
kbase	KBaseGenomicsClient	0	0	0	1	120
kbase	erdb_service	0	0	0	2	184
kbase	bootstrap	0	6	1	20	24262
kbase	protein_info_service	0	0	0	9	1028
kbase	translation	0	1	0	9	813
kbase	data_import_export	0	0	0	3	320
kbase	gene_families	0	1	0	5	34201
kbase	genome_comparison	0	1	0	4	14658
kbase	cbd	0	0	0	3	1800
kbase	java_type_generator	0	0	0	3	21540
kbase	shock_java_client	0	0	0	2	260
kbase	dev_container_tools	0	0	0	7	1436
kbase	sim_service	0	0	0	5	724
kbase	distro_utils	0	1	0	2	1367
kbase	cs_qc	0	0	0	1	148
kbase	metrics	0	1	0	4	334
kbase	narrative_method_store	0	1	3	2	471
kbase	narrative_method_specs	1	20	1	19	6759
kbase	transform	0	13	0	10	29928
kbase	narrative_job_service	0	6	0	6	507
kbase	user_profile	0	0	0	2	252
kbase	njs_wrapper	0	1	0	3	257
kbase	narrative_job_proxy	0	0	0	1	108
kbase	deploy_tools	0	0	0	4	0
