orgname	name	star_count	forks	issues	contributors	size
lexml	lexcomp	4	1	23	2	2795
lexml	lexml-swing-spellchecker	0	1	0	4	4746
lexml	mvn-repo	0	0	0	3	183676
lexml	public-maven-parent	0	0	0	2	196
lexml	pdfa-helper	0	0	0	1	1272
lexml	xloom	0	0	0	2	168
lexml	lexml-swing-componentes	0	0	0	2	248
lexml	lexml-swing-editorhtml	0	0	1	3	420
lexml	madoc	1	1	1	4	1531
lexml	lexml-renderer-rtf	0	0	0	2	748
lexml	lexml-renderer-pdf	0	0	0	1	736
lexml	lexml-xml-schemas	0	0	0	3	280
lexml	lexml-parser-projeto-lei	0	0	1	2	460
lexml	lexml-renderer-scala	0	0	0	2	260
lexml	lexml-parser-projeto-lei-ws-api	0	0	0	2	360
lexml	lexml-parser-projeto-lei-ws	0	0	0	2	456
lexml	jshortcut	0	1	0	2	276
lexml	lexml-diff	0	0	0	2	156
lexml	lexml-linker	0	0	0	2	244
lexml	lexml-toolkit	0	0	0	2	1824
lexml	lexml-coleta-validador	0	0	0	2	192
lexml	wiki	0	0	0	1	116
lexml	proxy-vole-lexml	0	2	0	2	311
lexml	silex-requisitos	0	0	0	2	3616
lexml	eventstream	0	0	0	2	144
lexml	akka-javascript-actor	0	0	0	2	168
lexml	json-model-mirror-actor	0	0	0	1	132
