orgname	name	star_count	forks	issues	contributors	size
losalamos	CODY	3	1	0	4	2940
losalamos	losalamos.github.com	4	0	0	1	92
losalamos	coNCePTuaL	2	0	0	1	9296
losalamos	McPhD	7	3	0	2	4323
losalamos	go-papi	12	2	0	1	129
losalamos	goop	35	5	0	1	140
losalamos	HILO	2	2	0	1	1200
losalamos	PISTON	19	11	1	5	817
losalamos	CLAMR	17	5	0	5	6748
losalamos	ExascaleDocs	9	0	0	1	72784
losalamos	Byfl	16	5	0	6	1694
losalamos	NuT	2	0	0	1	1304
losalamos	PENNANT	1	0	0	1	3824
losalamos	SNAP	4	4	0	3	11064
losalamos	Gazebo	1	1	0	1	1160
losalamos	circle	16	0	0	1	136
losalamos	libquo	3	1	0	2	2664
losalamos	CompactHash	3	0	0	1	1432
losalamos	PerfectHash	2	0	0	2	833
losalamos	rdrand	3	0	0	1	128
losalamos	libparty	1	1	0	2	550
losalamos	stress-make	1	0	0	1	0
