orgname	name
malmostad	intranet-dashboard
malmostad	intranet-assets
malmostad	intranet-wiki
malmostad	pedagog-malmo
malmostad	wp-apps
malmostad	touch
malmostad	intranet-forum-discontinued
malmostad	eservices-platform
malmostad	kulturproceduren
malmostad	mima
malmostad	nursing-homes
malmostad	quiz-offentlighet-sekretess
malmostad	webbvideo
malmostad	touch-poi-admin
malmostad	praktikvidevents
malmostad	wag
malmostad	siteseeker_normalizer
malmostad	sitesearch
malmostad	intranet-forum
malmostad	prototypes
malmostad	shared_assets
malmostad	global_assets
malmostad	wag-external-v4
malmostad	wag-intranet-v3
malmostad	sitevision_assets
malmostad	vuxenforvaltningens_informationsportal
malmostad	maintenance
malmostad	sv-contact-portlet
malmostad	malvin
malmostad	co-stad
malmostad	sv-webbvideo
malmostad	evenemangskalendern
malmostad	wag-v4
malmostad	soctanter
malmostad	puppet-mcommons
malmostad	sv-webbvideo-inline
malmostad	meks
