orgname	name
metno	moxml
metno	wdb-libwdbload
metno	wdb-gribload
metno	wdb-feltload
metno	wdb-demload
metno	wdb2ts
metno	wdb-config
metno	wdb-bilload
metno	wdb
metno	wdb-metadata
metno	wdb-netcdf
metno	wdb-moxload
metno	wdb-stationplacesync
metno	wdb-locationforecastLoad
metno	wdb2R
metno	wdb-feltpointload
metno	parch_locationforecastLoad
metno	wdb-pointvalueload
metno	wdb-netcdfload
metno	wdb-partition
metno	openlayers-timeslider
metno	parch_miopdbLoad
metno	wdb-pointvaluebatchload
metno	metadata-editor
metno	wdbview
metno	weather_symbol
metno	bora_prototype
metno	esd.test
metno	wdb-performance
metno	cookbook-phabricator
metno	diana
metno	esd
metno	metapi
metno	met-api-cd
metno	rscripts
metno	arcanist-support
metno	seNorge2
metno	python-diana
metno	sip-headless
metno	python-qt4-headless
metno	qt4-headless
metno	nir
metno	sesongvarsling
metno	sesongprognose
metno	metno.github.io
metno	gridpp
metno	fetch-vaa
metno	vaa-kml
metno	chef-utils
metno	rr.correction
metno	wgen
metno	metapi-terms
metno	scalastyle
metno	met-solr
metno	google-auth-tests
metno	metapi-observations
metno	metapi-auth
metno	metapi-util
metno	cookbook-metapi
metno	metapi-template
metno	cookbook-met-nexus
metno	loop_wrapper
metno	wgen.data
metno	metapi-tests
metno	metapi-solr-elements
metno	metapi-elements
metno	metapi-locations
metno	satistjenesten
metno	cookbook-ecflow
metno	eps2probandltf
metno	stationlists
metno	klimagrid_T2m
metno	NGCD
metno	wdb-topoload
metno	poseidon-web
metno	poseidon-rest
metno	gpu-ocean
metno	metapi-sources
metno	kvalobs
metno	kvaggregated
metno	kvsynopd
metno	kvnorcom
metno	kvjava
metno	kvbufrd
metno	kvhqc
metno	kvqc2d
metno	cookbook-kvalobs
metno	kvmeta
metno	kvmodelpopulate
metno	check-met-public-services
metno	python-productstatus-client
metno	diana-extras
metno	ecmwf-dissemination
metno	productstatus
metno	farekart
metno	BMD
metno	SPECS
metno	EVA
metno	fimex
metno	mgp
metno	esd_Rmarkdown
metno	esd_Rshiny
metno	tseries
metno	tseriesconfig-udi
metno	gpu-ocean-fortran
metno	playbook-ecflow
metno	metroms
metno	skyrec
metno	JTimeseries
metno	Tuber
metno	Metsis-theme
metno	met_moai
metno	metapi-kdvh-proxy-db
metno	nwpevents2kafka
