orgname	name
miamidade	georeport-server
miamidade	spring-portlet-mvc
miamidade	maven-repo
miamidade	code-for-miami-georeport-v2
miamidade	OEM-Core-Liferay
miamidade	OEM-Application
miamidade	engage305-theme
miamidade	VOAD
miamidade	presentation-github-flow
miamidade	calendar-admin
miamidade	311-direct
miamidade	interview-locations
miamidade	spook-detector
miamidade	portalpass
miamidade	Liferay-CORE-Theme
miamidade	spring-microservice
miamidade	open311
miamidade	windows-service-maker
miamidade	basic-authention-spring-poc
miamidade	content-service
miamidade	united-way
miamidade	enetmobile
miamidade	experiment-oauth2-spring
miamidade	cirmlive
miamidade	mayors-budget
miamidade	apis
miamidade	apiary-test
miamidade	common
miamidade	user-registration2-ui
