orgname	name
mxabierto	landing
mxabierto	datatron
mxabierto	capa
mxabierto	retos
mxabierto	adela
mxabierto	agentes
mxabierto	hello-cap
mxabierto	avisos
mxabierto	toolbox
mxabierto	condatos
mxabierto	interop
mxabierto	dataton
mxabierto	dgm-ansible
mxabierto	ckanext-chartbeat
mxabierto	ckanext-comscore
mxabierto	ckanext-mixpanel
mxabierto	dgm
mxabierto	mxabierto.org
mxabierto	colaborativa
mxabierto	mapas
mxabierto	ckanops
mxabierto	ckanext-slugs
mxabierto	govietron
mxabierto	polls
mxabierto	ckanext-more-facets
mxabierto	compras-abiertas
mxabierto	nom-nom-nom
mxabierto	ng-ckan
mxabierto	dockerfile
mxabierto	hackea-el-sistema
mxabierto	sigma-parser
mxabierto	buda
mxabierto	cluster
mxabierto	kitcat
mxabierto	sara
mxabierto	red-mx-abierto
mxabierto	tepatitlan
mxabierto	participa
mxabierto	cumbre-global
mxabierto	fonden
mxabierto	guia
mxabierto	semaforo_fonden
mxabierto	guia-content
mxabierto	shogun
mxabierto	prospera_digital_webhooks
mxabierto	componentes
mxabierto	assets
mxabierto	validadores
mxabierto	dgm-navbar
mxabierto	dgm-footer
mxabierto	gob.crawler
mxabierto	dgm-content
mxabierto	validadora
mxabierto	dgm-maps
mxabierto	pd_utils
mxabierto	gobmx-navbar
mxabierto	gobmx-footer
mxabierto	devops
mxabierto	flow
mxabierto	hook-jira
mxabierto	datacore
mxabierto	hook-github
mxabierto	dgm-tweets
mxabierto	idmx
mxabierto	ng-dc
mxabierto	dora
mxabierto	marcogeo-docker
mxabierto	recommender-sara
mxabierto	EDCA
mxabierto	dgm-analytics
mxabierto	historico-consulta
mxabierto	buda-clj
mxabierto	ng-buda
mxabierto	ProsperaDigital
mxabierto	misc-data-tools
mxabierto	edca-dashboard
mxabierto	ckan-dgm
mxabierto	VREnvironment
mxabierto	dataviz
mxabierto	amber
